resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.7,3GY3,A comparative study on the inhibition of bovine beta-trypsin by bis-benzamidines diminazene and pentamidine by X-ray crystallography and ITC,X-RAY DIFFRACTION,PNT|CA|EDO,,174|271|4735,P00760|1V2J_T|1V2N_T|1G3B_A|1V2S_T|1V2O_T|1V2U_T|1ZZZ_A|1AQ7_A|1UTN_A|1V2Q_T|1PPH_E|1V2K_T|1F0T_A|1TNG_A,615026|780933,20356563.0,10.1016/j.ijbiomac.2010.03.006,,19430775.0,"Perilo CS, Pereira MT, Santoro MM, Nagem RAP. Structural binding evidence of the trypanocidal drugs Berenil® and Pentacarinate® active principles to a serine protease model. International Journal of Biological Macromolecules. 2010 Jun;46(5):502–11. doi: 10.1016/j.ijbiomac.2010.03.006.",4735
1.85,3CR5,"X-ray structure of bovine Pnt-Zn(2+),Ca(2+)-S100B",X-RAY DIFFRACTION,CA|ZN|PNT,,271|32051|4735,3LK0_A|4FQO_A|P02638,525716,18602402.0,10.1016/j.jmb.2008.06.047,PMC2636698,11967924.0,"Charpentier TH, Wilder PT, Liriano MA, Varney KM, Pozharski E, MacKerell AD, Coop A, Toth EA, Weber DJ. Divalent Metal Ion Complexes of S100B in the Absence and Presence of Pentamidine. Journal of Molecular Biology. 2008 Sep;382(1):56–73. doi: 10.1016/j.jmb.2008.06.047.",4735
2.1,1D64,CRYSTAL STRUCTURE OF A PENTAMIDINE-OLIGONUCLEOTIDE COMPLEX: IMPLICATIONS FOR DNA-BINDING PROPERTIES,X-RAY DIFFRACTION,PNT,,4735,,,1643044.0,10.1021/bi00146a011,,6916487.0,"Edwards KJ, Jenkins TC, Neidle S. Crystal structure of a pentamidine-oligonucleotide complex: implications for DNA-binding properties. Biochemistry. 1992 Aug 11;31(31):7104–9. doi: 10.1021/bi00146a011. PMID: 1643044.",4735
2.149,3HII,Crystal structure of human diamine oxidase in complex with the inhibitor pentamidine,X-RAY DIFFRACTION,CA|GOL|PNT|CU,G73541PI|G49954MA,27099|271|4735|753,P19801|3HIG_A,26,19764817.0,10.1021/bi9014192,PMC2791411,13351678.0,"McGrath AP, Hilmer KM, Collyer CA, Shepard EM, Elmore BO, Brown DE, Dooley DM, Guss JM. Structure and Inhibition of Human Diamine Oxidase. Biochemistry. 2009 Sep 25;48(41):9810–22. doi: 10.1021/bi9014192.",4735
2.15,3CR4,"X-ray structure of bovine Pnt,Ca(2+)-S100B",X-RAY DIFFRACTION,CA|PNT,,271|4735,3LK0_A|4FQO_A|P02638,525716,18602402.0,10.1016/j.jmb.2008.06.047,PMC2636698,11967924.0,"Charpentier TH, Wilder PT, Liriano MA, Varney KM, Pozharski E, MacKerell AD, Coop A, Toth EA, Weber DJ. Divalent Metal Ion Complexes of S100B in the Absence and Presence of Pentamidine. Journal of Molecular Biology. 2008 Sep;382(1):56–73. doi: 10.1016/j.jmb.2008.06.047.",4735
2.45,8JY8,Structure of TbAQP2 in complex with anti-trypanosomatid drug pentamidine,ELECTRON MICROSCOPY,PNT,,4735,Q6ZXT3,,38734677.0,10.1038/s41467-024-48445-4,PMC11088622,37191529.0,"Chen W, Zou R, Mei Y, Li J, Xuan Y, Cui B, Zou J, Wang J, Lin S, Zhang Z, Wang C. Structural insights into drug transport by an aquaglyceroporin. Nat Commun. 2024 May 11;15(1):3985. PMID: 38734677; PMCID: PMC11088622.",4735
2.52,3EY0,A new form of DNA-drug interaction in the minor groove of a coiled coil,X-RAY DIFFRACTION,MG|PNT,,4735|888,,,20179336.0,10.1107/s0907444909055693,,12678045.0,"Moreno T, Pous J, Subirana JA, Campos JL. Coiled-coil conformation of a pentamidine-DNA complex. Acta Crystallogr D Biol Crystallogr. 2010 Mar;66(Pt 3):251–7. doi: 10.1107/s0907444909055693. PMID: 20179336.",4735
2.62,1RKW,CRYSTAL STRUCTURE OF THE MULTIDRUG BINDING TRANSCRIPTIONAL REPRESSOR QACR BOUND TO PENTAMADINE,X-RAY DIFFRACTION,SO4|PNT,,4735|1117,P0A0N4|1QVT_A,,14726520.0,10.1074/jbc.m313870200,,977741.0,"Murray DS, Schumacher MA, Brennan RG: Crystal structures of QacR-diamidine complexes reveal additional multidrug-binding modes and a novel mechanism of drug charge neutralization. J Biol Chem. 2004 Apr 2;279(14):14365-71. doi: 10.1074/jbc.M313870200. Epub 2004 Jan 15.",4735
2.954,7WP3,"Crystal structure of the complex of proliferating cell nuclear antigen (PCNA) from Leishmania donovani with 1,5-Bis (4-amidinophenoxy) pentane (PNT) at 2.95 A resolution",X-RAY DIFFRACTION,PNT,,4735,,,,,,,,4735
3.7,8OFY,Molecular Mechanism of trypanosomal AQP2,ELECTRON MICROSCOPY,PNT,,4735,Q6ZXT3,,,,,,,4735
