resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.65,4C9W,Crystal structure of NUDT1 (MTH1) with R-crizotinib,X-RAY DIFFRACTION,SO4|CL|VGH,,11626560|312|1117,P36639,4521,24695225.0,10.1038/nature13194,PMC4150021,30986280.0,"Huber KVM, Salah E, Radic B, Gridling M, Elkins JM, Stukalov A, Jemth A, Göktürk C, Sanjiv K, Strömberg K, Pham T, Berglund UW, Colinge J, Bennett KL, Loizou JI, Helleday T, Knapp S, Superti-Furga G. Stereospecific targeting of MTH1 by (S)-crizotinib as an anticancer strategy. Nature. 2014 Apr 02;508(7495):222–7. doi: 10.1038/nature13194.",11626560
1.7,2YFX,Structure of L1196M Mutant Anaplastic Lymphoma Kinase in Complex with Crizotinib,X-RAY DIFFRACTION,VGH,,11626560,Q9UM73|3AOX_A|4FOB_A|2XB7_A|4DCE_A|2XP2_A,238,24432909.0,10.1021/jm401805h,,1162666.0,"Huang Q, Johnson TW, Bailey S, Brooun A, Bunker KD, Burke BJ, Collins MR, Cook AS, Cui JJ, Dack KN, Deal JG, Deng YL, Dinh D, Engstrom LD, He M, Hoffman J, Hoffman RL, Johnson PS, Kania RS, Lam H, Lam JL, Le PT, Li Q, Lingardo L, Liu W, Lu MW, McTigue M, Palmer CL, Richardson PF, Sach NW, Shen H, Smeal T, Smith GL, Stewart AE, Timofeevski S, Tsaparikos K, Wang H, Zhu H, Zhu J, Zou HY, Edwards MP. Design of potent and selective inhibitors to overcome clinical anaplastic lymphoma kinase mutations resistant to crizotinib. J Med Chem. 2014 Feb 27;57(4):1170–87. doi: 10.1021/jm401805h. PMID: 24432909.",11626560
1.7,5AAC,Structure of C1156Y Mutant Human Anaplastic Lymphoma Kinase in Complex with Crizotinib,X-RAY DIFFRACTION,VGH,,11626560,Q9UM73|3AOX_A|4FOB_A|2XB7_A|4DCE_A|2XP2_A,238,26698910.0,10.1056/nejmoa1508887,PMC4773904,12117935.0,"Shaw AT, Friboulet L, Leshchiner I, Gainor JF, Bergqvist S, Brooun A, Burke BJ, Deng YL, Liu W, Dardaei L, Frias RL, Schultz KR, Logan J, James LP, Smeal T, Timofeevski S, Katayama R, Iafrate AJ, Le L, McTigue M, Getz G, Johnson TW, Engelman JA: Resensitization to Crizotinib by the Lorlatinib ALK Resistance Mutation L1198F. N Engl J Med. 2016 Jan 7;374(1):54-61. doi: 10.1056/NEJMoa1508887. Epub 2015 Dec 23.",11626560
1.73,5AAA,Structure of L1198F Mutant Human Anaplastic Lymphoma Kinase in Complex with Crizotinib,X-RAY DIFFRACTION,VGH,,11626560,Q9UM73|3AOX_A|4FOB_A|2XB7_A|4DCE_A|2XP2_A,238,26698910.0,10.1056/nejmoa1508887,PMC4773904,12117935.0,"Shaw AT, Friboulet L, Leshchiner I, Gainor JF, Bergqvist S, Brooun A, Burke BJ, Deng YL, Liu W, Dardaei L, Frias RL, Schultz KR, Logan J, James LP, Smeal T, Timofeevski S, Katayama R, Iafrate AJ, Le L, McTigue M, Getz G, Johnson TW, Engelman JA: Resensitization to Crizotinib by the Lorlatinib ALK Resistance Mutation L1198F. N Engl J Med. 2016 Jan 7;374(1):54-61. doi: 10.1056/NEJMoa1508887. Epub 2015 Dec 23.",11626560
1.76,4ANQ,Structure of G1269A Mutant Anaplastic Lymphoma Kinase in Complex with Crizotinib,X-RAY DIFFRACTION,VGH,,11626560,Q9UM73|3AOX_A|4FOB_A|2XB7_A|4DCE_A|2XP2_A,238,24432909.0,10.1021/jm401805h,,1162666.0,"Huang Q, Johnson TW, Bailey S, Brooun A, Bunker KD, Burke BJ, Collins MR, Cook AS, Cui JJ, Dack KN, Deal JG, Deng YL, Dinh D, Engstrom LD, He M, Hoffman J, Hoffman RL, Johnson PS, Kania RS, Lam H, Lam JL, Le PT, Li Q, Lingardo L, Liu W, Lu MW, McTigue M, Palmer CL, Richardson PF, Sach NW, Shen H, Smeal T, Smith GL, Stewart AE, Timofeevski S, Tsaparikos K, Wang H, Zhu H, Zhu J, Zou HY, Edwards MP. Design of potent and selective inhibitors to overcome clinical anaplastic lymphoma kinase mutations resistant to crizotinib. J Med Chem. 2014 Feb 27;57(4):1170–87. doi: 10.1021/jm401805h. PMID: 24432909.",11626560
1.85,4ANS,"Structure of L1196M,G1269A Double Mutant Anaplastic Lymphoma Kinase in Complex with Crizotinib",X-RAY DIFFRACTION,VGH,,11626560,Q9UM73|3AOX_A|4FOB_A|2XB7_A|4DCE_A|2XP2_A,238,,,,,,11626560
1.9,2XP2,Structure of the Human Anaplastic Lymphoma Kinase in Complex with Crizotinib (PF-02341066),X-RAY DIFFRACTION,VGH,,11626560,Q9UM73|3AOX_A|4FOB_A|2XB7_A|4DCE_A|2XP2_A,238,21812414.0,10.1021/jm2007613,,12003457.0,"Cui JJ, Tran-Dubé M, Shen H, Nambu M, Kung PP, Pairish M, Jia L, Meng J, Funk L, Botrous I, McTigue M, Grodsky N, Ryan K, Padrique E, Alton G, Timofeevski S, Yamazaki S, Li Q, Zou H, Christensen J, Mroczkowski B, Bender S, Kania RS, Edwards MP. Structure based drug design of crizotinib (PF-02341066), a potent and selective dual inhibitor of mesenchymal-epithelial transition factor (c-MET) kinase and anaplastic lymphoma kinase (ALK). J Med Chem. 2011 Sep 22;54(18):6342–63. doi: 10.1021/jm2007613. PMID: 21812414.",11626560
2.0,2WGJ,X-ray Structure of PF-02341066 bound to the kinase domain of c-Met,X-RAY DIFFRACTION,VGH,,11626560,3F66_A|4GG5_A|3LQ8_A|3DKF_A|3DKG_A|P08581|3I5N_A|2RFN_A|3C1X_A|3RHK_A|1R0P_A|3QTI_A|2WGJ_A|2WD1_A|3CE3_A|3Q6W_A|3A4P_A,4233,21812414.0,10.1021/jm2007613,,12003457.0,"Cui JJ, Tran-Dubé M, Shen H, Nambu M, Kung PP, Pairish M, Jia L, Meng J, Funk L, Botrous I, McTigue M, Grodsky N, Ryan K, Padrique E, Alton G, Timofeevski S, Yamazaki S, Li Q, Zou H, Christensen J, Mroczkowski B, Bender S, Kania RS, Edwards MP. Structure based drug design of crizotinib (PF-02341066), a potent and selective dual inhibitor of mesenchymal-epithelial transition factor (c-MET) kinase and anaplastic lymphoma kinase (ALK). J Med Chem. 2011 Sep 22;54(18):6342–63. doi: 10.1021/jm2007613. PMID: 21812414.",11626560
2.1,6IMZ,Crystal structure of MTH1 in complex with 18-Crown-6,X-RAY DIFFRACTION,O4B|SO4|ZN|VGH,,11626560|32051|28557|1117,P36639,4521,,,,,,11626560
2.2,3ZBF,Structure of Human ROS1 Kinase Domain in Complex with Crizotinib,X-RAY DIFFRACTION,VGH,,11626560,P08922,6098,23724914.0,10.1056/nejmoa1215530,PMC3878821,5248618.0,"Awad MM, Katayama R, McTigue M, Liu W, Deng Y, Brooun A, Friboulet L, Huang D, Falk MD, Timofeevski S, Wilner KD, Lockerman EL, Khan TM, Mahmood S, Gainor JF, Digumarthy SR, Stone JR, Mino-Kenudson M, Christensen JG, Iafrate AJ, Engelman JA, Shaw AT. Acquired Resistance to Crizotinib from a Mutation in <i>CD74</i>–<i>ROS1</i>. N Engl J Med. 2013 Jun 20;368(25):2395–401. doi: 10.1056/nejmoa1215530.",11626560
2.2,5AAB,"Structure of C1156Y,L1198F Mutant Human Anaplastic Lymphoma Kinase in Complex with Crizotinib",X-RAY DIFFRACTION,VGH,,11626560,Q9UM73|3AOX_A|4FOB_A|2XB7_A|4DCE_A|2XP2_A,238,26698910.0,10.1056/nejmoa1508887,PMC4773904,12117935.0,"Shaw AT, Friboulet L, Leshchiner I, Gainor JF, Bergqvist S, Brooun A, Burke BJ, Deng YL, Liu W, Dardaei L, Frias RL, Schultz KR, Logan J, James LP, Smeal T, Timofeevski S, Katayama R, Iafrate AJ, Le L, McTigue M, Getz G, Johnson TW, Engelman JA: Resensitization to Crizotinib by the Lorlatinib ALK Resistance Mutation L1198F. N Engl J Med. 2016 Jan 7;374(1):54-61. doi: 10.1056/NEJMoa1508887. Epub 2015 Dec 23.",11626560
