resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.36,7L9G,Crystal structure of the second bromodomain (BD2) of human BRD2 bound to BI2536,X-RAY DIFFRACTION,CL|R78|EDO,,174|11364421|312,P25440|4A9I_A|2YDW_B,6046.0,34710325.0,10.1021/acs.jmedchem.1c01096,PMC9119049,11576592.0,"Karim RM, Bikowitz MJ, Chan A, Zhu J, Grassie D, Becker A, Berndt N, Gunawan S, Lawrence NJ, Schönbrunn E. Differential BET Bromodomain Inhibition by Dihydropteridinone and Pyrimidodiazepinone Kinase Inhibitors. J. Med. Chem. 2021 Oct 28;64(21):15772–86. doi: 10.1021/acs.jmedchem.1c01096.",11364421
1.38,6CW0,Crystal structure of Cryptosporidium parvum bromodomain cgd2_2690,X-RAY DIFFRACTION,SO4|UNX|GOL|R78,,753|11364421|1117,,,,,,,,11364421
1.45,4O74,Crystal structure of the first bromodomain of human BRD4 in complex with BI 2536,X-RAY DIFFRACTION,EDO|R78|PEG,,8117|11364421|174,O60885|3MXF_A|4HBW_A|2YEM_A,23476.0,24568369.0,10.1021/cb500072z,PMC4032195,26283054.0,"Ember SWJ, Zhu J, Olesen SH, Martin MP, Becker A, Berndt N, Georg GI, Schönbrunn E. Acetyl-lysine Binding Site of Bromodomain-Containing Protein 4 (BRD4) Interacts with Diverse Kinase Inhibitors. ACS Chem. Biol. 2014 Mar 13;9(5):1160–71. doi: 10.1021/cb500072z.",11364421
1.55,7L9L,Crystal structure of the second bromodomain (BD2) of human BRD3 bound to BI2536,X-RAY DIFFRACTION,EDO|R78,,11364421|174,Q15059,8019.0,34710325.0,10.1021/acs.jmedchem.1c01096,PMC9119049,11576592.0,"Karim RM, Bikowitz MJ, Chan A, Zhu J, Grassie D, Becker A, Berndt N, Gunawan S, Lawrence NJ, Schönbrunn E. Differential BET Bromodomain Inhibition by Dihydropteridinone and Pyrimidodiazepinone Kinase Inhibitors. J. Med. Chem. 2021 Oct 28;64(21):15772–86. doi: 10.1021/acs.jmedchem.1c01096.",11364421
1.65,5VBQ,CRYSTAL STRUCTURE OF THE FIRST BROMODOMAIN OF HUMAN BRDT IN COMPLEX WITH BI2536,X-RAY DIFFRACTION,EDO|CL|R78,,312|11364421|174,Q58F21|4FLP_A,676.0,34710325.0,10.1021/acs.jmedchem.1c01096,PMC9119049,11576592.0,"Karim RM, Bikowitz MJ, Chan A, Zhu J, Grassie D, Becker A, Berndt N, Gunawan S, Lawrence NJ, Schönbrunn E. Differential BET Bromodomain Inhibition by Dihydropteridinone and Pyrimidodiazepinone Kinase Inhibitors. J. Med. Chem. 2021 Oct 28;64(21):15772–86. doi: 10.1021/acs.jmedchem.1c01096.",11364421
1.73,4OGI,Crystal Structure of the first bromodomain of human BRD4 in complex with the inhibitor BI-2536,X-RAY DIFFRACTION,R78|EDO,,11364421|174,O60885|3MXF_A|4HBW_A|2YEM_A,23476.0,24584101.0,10.1038/nchembio.1471,PMC3998711,26297571.0,10.1038/nchembio.1471,11364421
1.8,6BQQ,Crystal Structure of the Human CAMKK2B in complex with BI2526,X-RAY DIFFRACTION,ACT|R78,,175|11364421,Q96RR4|2ZV2_A,10645.0,,,,,,11364421
1.801,4I5M,Selective & Brain-Permeable Polo-like Kinase-2 (Plk-2) Inhibitors that Reduce -Synuclein Phosphorylation in Rat Brain,X-RAY DIFFRACTION,R78,,11364421,Q9NYY3,10769.0,23794260.0,10.1002/cmdc.201300166,,15409974.0,"Aubele DL, Hom RK, Adler M, Galemmo RA, Bowers S, Truong AP, Pan H, Beroza P, Neitz RJ, Yao N, Lin M, Tonn G, Zhang H, Bova MP, Ren Z, Tam D, Ruslim L, Baker J, Diep L, Fitzgerald K, Hoffman J, Motter R, Fauss D, Tanaka P, Dappen M, Jagodzinski J, Chan W, Konradi AW, Latimer L, Zhu YL, Sham HL, Anderson JP, Bergeron M, Artis DR. Selective and Brain-Permeable Polo-like Kinase-2 (Plk-2) Inhibitors That Reduce a-Synuclein Phosphorylation in Rat Brain. ChemMedChem. 2013 Jun 21;8(8):1295–313. doi: 10.1002/cmdc.201300166.",11364421
1.85,7LAI,Crystal structure of the first bromodomain (BD1) of human BRD2 bound to BI2536,X-RAY DIFFRACTION,R78,,11364421,,,34710325.0,10.1021/acs.jmedchem.1c01096,PMC9119049,11576592.0,"Karim RM, Bikowitz MJ, Chan A, Zhu J, Grassie D, Becker A, Berndt N, Gunawan S, Lawrence NJ, Schönbrunn E. Differential BET Bromodomain Inhibition by Dihydropteridinone and Pyrimidodiazepinone Kinase Inhibitors. J. Med. Chem. 2021 Oct 28;64(21):15772–86. doi: 10.1021/acs.jmedchem.1c01096.",11364421
1.95,5C8G,Crystal Structure Analysis of PP-BRD20 from Tb427tmp complexed with BI-2536,X-RAY DIFFRACTION,UNX|R78,,11364421,,,,,,,,11364421
