resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.489,7F9T,Toxoplasma gondii Prolyl-tRNA Synthetase (TgPRS) in Complex with inhibitor L97 and Halofuginone,X-RAY DIFFRACTION,OXM|HFG|1XK|ACT|FMT|EDO|MES,,974|174|164889254|456390|175|78165|284,,,,,,,,456390
1.697,7EVU,Co-crystal Structure of Toxoplasma gondii Prolyl tRNA Synthetase (TgPRS) in complex with HFG and JE6,X-RAY DIFFRACTION,JE6|MES|HFG,,78165|150183269|456390,,,35333915.0,10.1371/journal.ppat.1010363,PMC9004777,32533265.0,"Manickam Y, Malhotra N, Mishra S, Babbar P, Dusane A, Laleu B, Bellini V, Hakimi M, Bougdour A, Sharma A. Double drugging of prolyl-tRNA synthetase provides a new paradigm for anti-infective drug development. PLoS Pathog. 2022 Mar 25;18(3):e1010363. doi: 10.1371/journal.ppat.1010363.",456390
1.7,7X09,Homo sapiens Prolyl-tRNA Synthetase (HsPRS) in Complex with inhibitors L95 and Halofuginone,X-RAY DIFFRACTION,HFG|CA|ZN|BR|CL|JE6|GOL,,271|259|32051|312|456390|753|150183269,P07814,2058.0,,,,,,456390
1.75,6UYH,Crystal structure of prolyl-tRNA synthetase from Naegleria fowleri in complex with halofuginone and AMPPNP,X-RAY DIFFRACTION,SO4|ANP|MG|EDO|HFG,,174|33113|888|456390|1117,,,,,,,,456390
1.816,7F9V,Toxoplasma gondii Prolyl-tRNA Synthetase (TgPRS) in Complex with inhibitor T35 and Halofuginone,X-RAY DIFFRACTION,BME|BR|GOL|1TI|HFG|F|IOD|MES,,259|164513364|456390|1567|753|78165|28179|30165,,,,,,,,456390
1.84,5ZNJ,Crystal structure of a bacterial ProRS with ligands,X-RAY DIFFRACTION,GOL|ANP|PO4|MG|HFG,,33113|888|456390|753|1061,,,,,,,,456390
2.0,4HVC,Crystal structure of human prolyl-tRNA synthetase in complex with halofuginone and ATP analogue,X-RAY DIFFRACTION,ZN|ANP|MG|HFG,,32051|888|33113|456390,P07814,2058.0,23263184.0,10.1038/nature11774,PMC3569068,9363321.0,"Zhou H, Sun L, Yang XL, Schimmel P. ATP-directed capture of bioactive herbal-based medicine on human tRNA synthetase. Nature. 2013 Feb 07;494(7435):121–4. PMID: 23263184; PMCID: PMC3569068.",456390
2.04,7X1O,Homo sapiens Prolyl-tRNA Synthetase (HsPRS) in Complex with double inhibitors HF and L95,X-RAY DIFFRACTION,CA|HFG|ZN|BR|JE6|GOL,,271|259|32051|456390|753|150183269,P07814,2058.0,,,,,,456390
2.14,8JE7,Crystal Structure of Anopheles culicifacies Prolyl-tRNA Synthetase (AcPRS) in complex with two inhibitors (Halofuginone and L95),X-RAY DIFFRACTION,ZN|BR|GOL|JE6|CL|HFG,,259|32051|312|753|456390|150183269,,,,,,,,456390
2.19,5XIQ,Crystal Structure of Toxoplasma gondii Prolyl-tRNA Synthetase (TgPRS) in complex with Halofuginone,X-RAY DIFFRACTION,ANP|MG|HFG,,888|33113|456390,,,28867614.0,10.1016/j.str.2017.07.015,,23066991.0,"Jain V, Yogavel M, Kikuchi H, Oshima Y, Hariguchi N, Matsumoto M, Goel P, Touquet B, Jumani RS, Tacchini-Cottier F, Harlos K, Huston CD, Hakimi M, Sharma A. Targeting Prolyl-tRNA Synthetase to Accelerate Drug Discovery against Malaria, Leishmaniasis, Toxoplasmosis, Cryptosporidiosis, and Coccidiosis. Structure. 2017 Oct;25(10):1495–1505.e6. doi: 10.1016/j.str.2017.07.015.",456390
2.3,4YDQ,Crystal Structure of Prolyl-tRNA Synthetase (PRS) from Plasmodium falciparum in complex with Halofuginone and AMPPNP,X-RAY DIFFRACTION,ANP|MG|HFG,,888|33113|456390,Q8I5R7,811187.0,25817387.0,10.1016/j.str.2015.02.011,,14787629.0,"Jain V, Yogavel M, Oshima Y, Kikuchi H, Touquet B, Hakimi MA, Sharma A. Structure of Prolyl-tRNA Synthetase-Halofuginone Complex Provides Basis for Development of Drugs against Malaria and Toxoplasmosis. Structure. 2015 May 05;23(5):819–29. doi: 10.1016/j.str.2015.02.011. PMID: 25817387.",456390
2.35,4Q15,"Crystal Structure of Prolyl-tRNA synthetase (ProRS, Proline--tRNA ligase) from Plasmodium falciparum in complex with Halofuginone and AMPPNP in space group P212121 at 2.35 A",X-RAY DIFFRACTION,EDO|ANP|MG|HFG,,456390|174|33113|888,Q8I5R7,811187.0,27798837.0,10.1021/acsinfecdis.6b00078,PMC5241706,26335673.0,"Hewitt SN, Dranow DM, Horst BG, Abendroth JA, Forte B, Hallyburton I, Jansen C, Baragaña B, Choi R, Rivas KL, Hulverson MA, Dumais M, Edwards TE, Lorimer DD, Fairlamb AH, Gray DW, Read KD, Lehane AM, Kirk K, Myler PJ, Wernimont A, Walpole C, Stacy R, Barrett LK, Gilbert IH, Van Voorhis WC. Biochemical and Structural Characterization of Selective Allosteric Inhibitors of the <i>Plasmodium falciparum</i> Drug Target, Prolyl-tRNA-synthetase. ACS Infect. Dis. 2016 Nov 16;3(1):34–44. doi: 10.1021/acsinfecdis.6b00078.",456390
2.35,6MN8,Crystal Structure of Prolyl-tRNA Synthetase from Onchocerca volvulus with bound Halofuginone and nucleotide,X-RAY DIFFRACTION,SER|2PN|ANP|AMP|MG|GLY|HFG,,750|33113|122874|6083|888|456390|5951,,,,,,,,456390
2.4,5F9Z,Crystal Structure of Prolyl-tRNA Synthetase from Cryptosporidium parvum complexed with Halofuginone and AMPPNP,X-RAY DIFFRACTION,GOL|ANP|ZN|MG|HFG,,33113|32051|888|456390|753,,,,,,,,456390
