resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.47,9F8H,Crystal Structure of PhzA/B from Burkholderia cepacia R18194 in complex with Raloxifene,X-RAY DIFFRACTION,EDO|GOL|RAL,,5035|174|753,,,40156840.0,10.1021/acs.jmedchem.4c03065,PMC11998002,38602690.0,"Thiemann M, Zimmermann M, Diederich C, Zhan H, Lebedev M, Pletz J, Baumgarten J, Handke M, Müsken M, Breinbauer R, Krasteva-Christ G, Zanin E, Empting M, Schiedel M, Kunick C, Blankenfeldt W. From Bones to Bugs: Structure-Based Development of Raloxifene-Derived Pathoblockers That Inhibit Pyocyanin Production in <i>Pseudomonas aeruginosa</i>. J. Med. Chem. 2025 Mar 29;68(7):7390–420. doi: 10.1021/acs.jmedchem.4c03065.",5035
1.6,7NDO,"ER-PRS*(-) (L536S, L372R) in complex with raloxifene",X-RAY DIFFRACTION,RAL|CL|EDO,,312|174|5035,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099.0,34006920.0,10.1038/s41598-021-89785-1,PMC8131754,31825799.0,"Kriegel M, Wiederanders HJ, Alkhashrom S, Eichler J, Muller YA. A PROSS-designed extensively mutated estrogen receptor a variant displays enhanced thermal stability while retaining native allosteric regulation and structure. Scientific Reports. 2021 May 18;11(1):10509. doi: 10.1038/s41598-021-89785-1.",5035
1.7,2QXS,Crystal Structure of Antagonizing Mutant 536S of the Estrogen Receptor Alpha Ligand Binding Domain Complexed to Raloxifene,X-RAY DIFFRACTION,RAL,,5035,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099.0,20924370.0,10.1038/nchembio.451,PMC2974172,18744141.0,10.1038/nchembio.451,5035
1.78,7UJC,Raloxifene in Complex with Estrogen Receptor Alpha Ligand Binding Domain Y537S Mutation,X-RAY DIFFRACTION,RAL,,5035,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099.0,35575456.0,10.7554/elife.72512,PMC9177151,34072705.0,"Hosfield DJ, Weber S, Li N, Sauvage M, Joiner CF, Hancock GR, Sullivan EA, Ndukwe E, Han R, Cush S, Lainé M, Mader SC, Greene GL, Fanning SW. Author response: Stereospecific lasofoxifene derivatives reveal the interplay between estrogen receptor alpha stability and antagonistic activity in ESR1 mutant breast cancer cells. 2022 Apr 21;(). doi: 10.7554/elife.72512.sa2.",5035
1.834,7KBS,Estrogen Receptor Alpha Ligand Binding Domain in Complex with Raloxifene,X-RAY DIFFRACTION,RAL,,5035,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099.0,35575456.0,10.7554/elife.72512,PMC9177151,34072705.0,"Hosfield DJ, Weber S, Li N, Sauvage M, Joiner CF, Hancock GR, Sullivan EA, Ndukwe E, Han R, Cush S, Lainé M, Mader SC, Greene GL, Fanning SW. Author response: Stereospecific lasofoxifene derivatives reveal the interplay between estrogen receptor alpha stability and antagonistic activity in ESR1 mutant breast cancer cells. 2022 Apr 21;(). doi: 10.7554/elife.72512.sa2.",5035
2.2,2Y05,Crystal structure of human leukotriene B4 12-hydroxydehydrogenase in complex with NADP and raloxifene,X-RAY DIFFRACTION,NAP|RAL|CL|EDO,,312|5035|174|5885,Q14914,22949.0,,,,,,5035
2.25,1QKN,RAT OESTROGEN RECEPTOR BETA LIGAND-BINDING DOMAIN IN COMPLEX WITH ANTAGONIST RALOXIFENE,X-RAY DIFFRACTION,ACT|RAL,,175|5035,Q62986,25149.0,10469641.0,10.1093/emboj/18.17.4608,PMC1171535,32064836.0,1999; 18(17):4608-4618,5035
2.55,2JFA,ESTROGEN RECEPTOR ALPHA LBD IN COMPLEX WITH AN AFFINITY-SELECTED COREPRESSOR PEPTIDE,X-RAY DIFFRACTION,SO4|RAL,,5035|1117,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099.0,17283072.0,10.1074/jbc.m611424200,,3735846.0,"Heldring N, Pawson T, McDonnell D, Treuter E, Gustafsson J, Pike ACW. Structural Insights into Corepressor Recognition by Antagonist-bound Estrogen Receptors. Journal of Biological Chemistry. 2007 Apr;282(14):10449–55. doi: 10.1074/jbc.m611424200.",5035
2.6,7OPN,Human Aldehyde Oxidase SNP R1231H in complex with Raloxifene,X-RAY DIFFRACTION,PG6|FES|GOL|RAL|MTE|MOS|FAD|MLI|DMS,,135398581|9084|753|70931|679|5035|643975,Q06278,316.0,34415167.0,10.1021/acs.jmedchem.1c01125,,8214557.0,"Mota C, Diniz A, Coelho C, Santos-Silva T, Esmaeeli M, Leimkühler S, Cabrita EJ, Marcelo F, Romão MJ. Interrogating the Inhibition Mechanisms of Human Aldehyde Oxidase by X-ray Crystallography and NMR Spectroscopy: The Raloxifene Case. J Med Chem. 2021 Sep 09;64(17):13025–37. doi: 10.1021/acs.jmedchem.1c01125. PMID: 34415167.",5035
2.6,1ERR,HUMAN ESTROGEN RECEPTOR LIGAND-BINDING DOMAIN IN COMPLEX WITH RALOXIFENE,X-RAY DIFFRACTION,RAL,,5035,P03372|1SJ0_A|2IOK_A|2IOG_A|1UOM_A|1QKT_A|1PCG_A|1QKU_A|4DMA_A|1ZKY_A|1X7E_A|2P15_A|1GWQ_A,2099.0,9338790.0,10.1038/39645,,2908571.0,"Brzozowski AM, Pike AC, Dauter Z, Hubbard RE, Bonn T, Engström O, Ohman L, Greene GL, Gustafsson JA, Carlquist M. Molecular basis of agonism and antagonism in the oestrogen receptor. Nature. 1997 Oct 16;389(6652):753–8. doi: 10.1038/39645. PMID: 9338790.",5035
