resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.12,3FT6,Crystal Structure of Proflavine in Complex with a DNA hexamer duplex,X-RAY DIFFRACTION,PRL|NCO,,7099,,,,,,,,7099
1.9,2V57,Crystal structure of the TetR-like transcriptional regulator LfrR from Mycobacterium smegmatis in complex with proflavine,X-RAY DIFFRACTION,SO4|PRL|IPA,,3776|7099|1117,A0R5K4|2V57_A,,19820093.0,10.1128/jb.00631-09,PMC2786614,30906309.0,"Bellinzoni M, Buroni S, Schaeffer F, Riccardi G, De Rossi E, Alzari PM. Structural plasticity and distinct drug-binding modes of LfrR, a mycobacterial efflux pump regulator. J Bacteriol. 2009 Dec;191(24):7531–7. PMID: 19820093; PMCID: PMC2786614.",7099
2.0,1VTF,STRUCTURE OF 5'-D(*(BRO)CP*GP*(BRO)CP*G)-3' IN COMPLEX WITH PROFLAVINE,X-RAY DIFFRACTION,PRL,,7099,,,3179273.0,10.1021/bi00415a052,,5529592.0,"Westhof E, Hosur MV, Sundaralingam M. Nonintercalative binding of proflavin to Z-DNA: structure of a complex between d(5BrC-G-5BrC-G) and proflavin. Biochemistry. 1988 Jul 26;27(15):5742–7. doi: 10.1021/bi00415a052. PMID: 3179273.",7099
2.0,1BCU,ALPHA-THROMBIN COMPLEXED WITH HIRUGEN AND PROFLAVIN,X-RAY DIFFRACTION,PRL,,7099,P00734|1D9I_A|1VZQ_H|2BDY_A|1JWT_A|1NM6_A|1D6W_A|1GJ4_H|1DOJ_A|2BVR_H|1D3D_B|1A2C_H|P01050,2147,9559654.0,10.1016/s0014-5793(98)00235-x,,7756603.0,"Conti E, Rivetti C, Wonacott A, Brick P. X-ray and spectrophotometric studies of the binding of proflavin to the S1 specificity pocket of human alpha-thrombin. FEBS Lett. 1998 Mar 27;425(2):229–33. doi: 10.1016/s0014-5793(98)00235-x. PMID: 9559654.",7099
2.68,7NT4,X-ray structure of SCoV2-PLpro in complex with small molecule inhibitor,X-RAY DIFFRACTION,SO4|PRL|ZN|EDO,,32051|174|7099|1117,P0DTD1,,35021060.0,10.1016/j.chembiol.2021.11.006,PMC8751734,12952902.0,"Napolitano V, Dabrowska A, Schorpp K, Mourão A, Barreto-Duran E, Benedyk M, Botwina P, Brandner S, Bostock M, Chykunova Y, Czarna A, Dubin G, Fröhlich T, Hölscher M, Jedrysik M, Matsuda A, Owczarek K, Pachota M, Plettenburg O, Potempa J, Rothenaigner I, Schlauderer F, Slysz K, Szczepanski A, Greve-Isdahl Mohn K, Blomberg B, Sattler M, Hadian K, Popowicz GM, Pyrc K. Acriflavine, a clinically approved drug, inhibits SARS-CoV-2 and other betacoronaviruses. Cell Chemical Biology. 2022 May;29(5):774–784.e8. doi: 10.1016/j.chembiol.2021.11.006.",7099
2.7,3HTH,Crystal structure of multidrug binding protein EbrR complexed with proflavin,X-RAY DIFFRACTION,NI|PRL,,7099|934,,,,,,,,7099
2.8,4ZPH,Crystal Structure of the Heterodimeric HIF-2a:ARNT Complex with Proflavine,X-RAY DIFFRACTION,PRL,,7099,P97481|P53762,13819|11863,26245371.0,10.1038/nature14883,,13466057.0,"Wu D, Potluri N, Lu J, Kim Y, Rastinejad F. Structural integration in hypoxia-inducible factors. Nature. 2015 Aug 20;524(7565):303–8. doi: 10.1038/nature14883. PMID: 26245371.",7099
2.89,1QVT,CRYSTAL STRUCTURE OF THE MULTIDRUG BINDING TRANSCRIPTIONAL REPRESSOR QACR BOUND TO THE DRUG PROFLAVINE,X-RAY DIFFRACTION,SO4|PRL,,7099|1117,P0A0N4|1QVT_A,,15257299.0,10.1038/sj.emboj.7600288,PMC514915,21363626.0,2004; 23(15):2923-2930,7099
2.96,1QVU,Crystal structure of the multidrug binding transcriptional repressor QacR bound to two drugs: ethidium and proflavine,X-RAY DIFFRACTION,PRL|ET,,7099|3624,P0A0N4|1QVT_A,,15257299.0,10.1038/sj.emboj.7600288,PMC514915,21363626.0,2004; 23(15):2923-2930,7099
3.05,8UTA,yjdF riboswitch from R. gauvreauii in complex with proflavine bound to Fab BL3-6 S97N,X-RAY DIFFRACTION,PRL|MG,,888|7099,,,,,,,,7099
,2KD4,"Solution structure and thermodynamics of 2',5' RNA intercalation",SOLUTION NMR,PRL,,7099,,,19309071.0,10.1021/ja810068e,,18727837.0,"Horowitz ED, Lilavivat S, Holladay BW, Germann MW, Hud NV. Solution structure and thermodynamics of 2',5' RNA intercalation. J Am Chem Soc. 2009 Apr 29;131(16):5831–8. doi: 10.1021/ja810068e. PMID: 19309071.",7099
