resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.19,7FCG,X-ray structure of high-strength hydrogel-grown FABP3 crystal soaked in 50% DMSO solution containing Indometacin,X-RAY DIFFRACTION,P6G|IMN,,17472|3715,P05413|1HMR_A,2170.0,,,,,,3715
1.4,3FO7,Simultaneous inhibition of anti-coagulation and inflammation: Crystal structure of phospholipase A2 complexed with indomethacin at 1.4 A resolution reveals the presence of the new common ligand binding site,X-RAY DIFFRACTION,SO4|IMN,,3715|1117,3H1X_A|P59071|1FV0_A,,,,,,,3715
1.4,3H1X,Simultaneous inhibition of anti-coagulation and inflammation: Crystal structure of phospholipase A2 complexed with indomethacin at 1.4 A resolution reveals the presence of the new common ligand binding site,X-RAY DIFFRACTION,SO4|IMN,,3715|1117,3H1X_A|P59071|1FV0_A,,19462410.0,10.1002/jmr.960,,26868680.0,"Singh N, Prem Kumar R, Sharma S, Kaur P, Singh TP. Simultaneous inhibition of anti-coagulation and inflammation: Crystal structure of phospholipase A2 complexed with indomethacin at 1.4 A resolution reveals the presence of the new common ligand binding site. 2009 Jun 09;(). doi: 10.2210/pdb3h1x/pdb.",3715
1.52,4JQ4,AKR1C2 complex with indomethacin,X-RAY DIFFRACTION,TLA|PO4|NAP|IMN|EDO,,174|5885|444305|3715|1061,P52895,1646.0,,,,,,3715
1.58,4YIA,Structural mechanism of hormone release in thyroxine binding globulin,X-RAY DIFFRACTION,CA|CL|NA|IMN,,923|271|312|3715,P05543|2CEO_A|2XN5_A|2XN3_A|2XN6_A,6906.0,,,,,,3715
1.65,3UGR,AKR1C3 complex with indomethacin at pH 6.8,X-RAY DIFFRACTION,NAP|EDO|DMS|IMN,,174|3715|5885|679,P42330,8644.0,22937138.0,10.1371/journal.pone.0043965,PMC3429426,31634048.0,"Flanagan JU, Yosaatmadja Y, Teague RM, Chai MZL, Turnbull AP, Squire CJ. Crystal Structures of Three Classes of Non-Steroidal Anti-Inflammatory Drugs in Complex with Aldo-Keto Reductase 1C3. PLoS ONE. 2012 Aug 28;7(8):e43965. doi: 10.1371/journal.pone.0043965.",3715
1.7,1S2A,Crystal structures of prostaglandin D2 11-ketoreductase in complex with the non-steroidal anti-inflammatory drugs flufenamic acid and indomethacin,X-RAY DIFFRACTION,UNX|NAP|DMS|IMN,,679|5885|3715,P42330,8644.0,14996743.0,10.1158/0008-5472.can-03-2847,,30820083.0,"Lovering AL, Ride JP, Bunce CM, Desmond JC, Cummings SM, White SA. Crystal Structures of Prostaglandin D2 11-Ketoreductase (AKR1C3) in Complex with the Nonsteroidal Anti-Inflammatory Drugs Flufenamic Acid and Indomethacin. 2004 Mar 01;64(5):1802–10. doi: 10.1158/0008-5472.can-03-2847.",3715
1.73,3UG8,AKR1C3 complex with indomethacin at pH 7.5,X-RAY DIFFRACTION,NAP|EDO|IMN,,174|5885|3715,P42330,8644.0,22937138.0,10.1371/journal.pone.0043965,PMC3429426,31634048.0,"Flanagan JU, Yosaatmadja Y, Teague RM, Chai MZL, Turnbull AP, Squire CJ. Crystal Structures of Three Classes of Non-Steroidal Anti-Inflammatory Drugs in Complex with Aldo-Keto Reductase 1C3. PLoS ONE. 2012 Aug 28;7(8):e43965. doi: 10.1371/journal.pone.0043965.",3715
1.95,3ADX,Human PPARgamma ligand-binding domain in complex with indomethacin and nitro-233,X-RAY DIFFRACTION,NRO|IMN,,6006216|3715,P37231|3U9Q_A|2HFP_A|3OSI_A|3T03_A|3BC5_A|1I7I_A|3R5N_A|1ZEO_A|2ATH_A|3B1M_A|4PRG_A|1NYX_A|2YFE_A|2I4J_A|1FM9_D,5468.0,20717101.0,10.1038/emboj.2010.197,PMC2957204,27558139.0,2010; 29(19):3395-3407,3715
2.0,2DM6,Crystal structure of anti-configuration of indomethacin and leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase complex,X-RAY DIFFRACTION,TAM|NAP|IMN,,3715|448009|5885,Q9EQZ5,100135572.0,16916844.0,10.1093/jb/mvj176,,9884039.0,"Hori T, Ishijima J, Yokomizo T, Ago H, Shimizu T, Miyano M. Crystal Structure of Anti-Configuration of Indomethacin and Leukotriene B4 12-Hydroxydehydrogenase/15-Oxo-Prostaglandin 13-Reductase Complex Reveals the Structural Basis of Broad Spectrum Indomethacin Efficacy. 2006 Sep;140(3):457–66. doi: 10.1093/jb/mvj176.",3715
2.0,2ZB8,Crystal structure of human 15-ketoprostaglandin delta-13-reductase in complex with NADP and indomethacin,X-RAY DIFFRACTION,SO4|NAP|IMN,,5885|3715|1117,Q8N8N7,145482.0,19000823.0,10.1016/j.str.2008.09.007,,16700024.0,"Wu YH, Ko TP, Guo RT, Hu SM, Chuang LM, Wang AH: Structural basis for catalytic and inhibitory mechanisms of human prostaglandin reductase PTGR2. Structure. 2008 Nov 12;16(11):1714-23. doi: 10.1016/j.str.2008.09.007.",3715
2.0,4IKI,Crystal structure of wild-type human transthyretin in complex with indomethacin,X-RAY DIFFRACTION,IMN,,3715,3HJ0_A|P02766|3NEE_A|1BM7_A|3KGT_A|3NES_A|3CFN_A|4DEU_A|3FC8_A,7276.0,,,,,,3715
2.0,4KYK,Crystal structure of mouse glyoxalase I complexed with indomethacin,X-RAY DIFFRACTION,ZN|IMN,,32051|3715,Q9CPU0,109801.0,23857942.0,10.1002/cmdc.201300243,,22183345.0,"Zhai J, Zhang H, Zhang L, Zhao Y, Chen S, Chen Y, Peng X, Li Q, Yuan M, Hu X. Zopolrestat as a human glyoxalase I inhibitor and its structural basis. ChemMedChem. 2013 Sep;8(9):1462–4. doi: 10.1002/cmdc.201300243. PMID: 23857942.",3715
2.09,8YG7,HSA Copper Indomethacin Complex,X-RAY DIFFRACTION,A1D6U|PLM|IMN,,985|3715,P02768|3CX9_A|1HK2_A|1GNI_A|1HK3_A,213.0,,,,,,3715
2.1,4IK7,Crystal structure of human transthyretin in complex with indomethacin,X-RAY DIFFRACTION,IMN,,3715,3HJ0_A|P02766|3NEE_A|1BM7_A|3KGT_A|3NES_A|3CFN_A|4DEU_A|3FC8_A,7276.0,,,,,,3715
