,Bit_score,Alignment_Length,Query_ID,Title,Alignment_Score,Subject_ID,E_value,Subject_Chain,target_name,malaria_name,target_id,malaria_id,resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
0,87.0,237.0,1C14_1|Chains, Enoyl-ACP reductase [Plasmodium falciparum],25.738,pdb|3AM3|A,6.74e-20,Chain A,1C14,3AM3,1,A,2.0,1C14,CRYSTAL STRUCTURE OF E COLI ENOYL REDUCTASE-NAD+-TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10595560.0,10.1110/ps.8.11.2529,PMC2144207,12502403.0,"Qiu X, Janson CA, Court RI, Smyth MG, Payne DJ, Abdel-Meguid SS. Molecular basis for triclosan activity involves a flipping loop in the active site. Protein Sci. 1999 Nov;8(11):2529–32. PMID: 10595560; PMCID: PMC2144207.",5564
1,85.5,237.0,1C14_1|Chains, enoyl-ACP reductase [Plasmodium falciparum],25.316,pdb|1UH5|A,2.78e-19,Chain A,1C14,1UH5,1,A,2.0,1C14,CRYSTAL STRUCTURE OF E COLI ENOYL REDUCTASE-NAD+-TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10595560.0,10.1110/ps.8.11.2529,PMC2144207,12502403.0,"Qiu X, Janson CA, Court RI, Smyth MG, Payne DJ, Abdel-Meguid SS. Molecular basis for triclosan activity involves a flipping loop in the active site. Protein Sci. 1999 Nov;8(11):2529–32. PMID: 10595560; PMCID: PMC2144207.",5564
2,84.3,237.0,1C14_1|Chains, Enoyl-acyl carrier reductase [Plasmodium falciparum],24.051,pdb|2OL4|A,7.72e-19,Chain A,1C14,2OL4,1,A,2.0,1C14,CRYSTAL STRUCTURE OF E COLI ENOYL REDUCTASE-NAD+-TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10595560.0,10.1110/ps.8.11.2529,PMC2144207,12502403.0,"Qiu X, Janson CA, Court RI, Smyth MG, Payne DJ, Abdel-Meguid SS. Molecular basis for triclosan activity involves a flipping loop in the active site. Protein Sci. 1999 Nov;8(11):2529–32. PMID: 10595560; PMCID: PMC2144207.",5564
3,84.0,237.0,1C14_1|Chains, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],24.051,pdb|1VRW|A,8.04e-19,Chain A,1C14,1VRW,1,A,2.0,1C14,CRYSTAL STRUCTURE OF E COLI ENOYL REDUCTASE-NAD+-TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10595560.0,10.1110/ps.8.11.2529,PMC2144207,12502403.0,"Qiu X, Janson CA, Court RI, Smyth MG, Payne DJ, Abdel-Meguid SS. Molecular basis for triclosan activity involves a flipping loop in the active site. Protein Sci. 1999 Nov;8(11):2529–32. PMID: 10595560; PMCID: PMC2144207.",5564
4,83.6,237.0,1C14_1|Chains, Enoyl-ACP reductase [Plasmodium falciparum],25.316,pdb|3AM5|A,1.37e-18,Chain A,1C14,3AM5,1,A,2.0,1C14,CRYSTAL STRUCTURE OF E COLI ENOYL REDUCTASE-NAD+-TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10595560.0,10.1110/ps.8.11.2529,PMC2144207,12502403.0,"Qiu X, Janson CA, Court RI, Smyth MG, Payne DJ, Abdel-Meguid SS. Molecular basis for triclosan activity involves a flipping loop in the active site. Protein Sci. 1999 Nov;8(11):2529–32. PMID: 10595560; PMCID: PMC2144207.",5564
5,70.1,141.0,1C14_1|Chains, enoyl-acyl carrier reductase [Plasmodium falciparum],29.078,pdb|1NHG|A,2.72e-14,Chain A,1C14,1NHG,1,A,2.0,1C14,CRYSTAL STRUCTURE OF E COLI ENOYL REDUCTASE-NAD+-TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10595560.0,10.1110/ps.8.11.2529,PMC2144207,12502403.0,"Qiu X, Janson CA, Court RI, Smyth MG, Payne DJ, Abdel-Meguid SS. Molecular basis for triclosan activity involves a flipping loop in the active site. Protein Sci. 1999 Nov;8(11):2529–32. PMID: 10595560; PMCID: PMC2144207.",5564
6,642.0,316.0,1CET_1|Chain, PROTEIN (L-LACTATE DEHYDROGENASE) [Plasmodium falciparum],100.0,pdb|1CET|A,0.0,Chain A,1CET,1CET,1,A,2.05,1CET,CHLOROQUINE BINDS IN THE COFACTOR BINDING SITE OF PLASMODIUM FALCIPARUM LACTATE DEHYDROGENASE.,X-RAY DIFFRACTION,CLQ,,444810,Q27743|1CET_A,,10187806.0,10.1074/jbc.274.15.10213,,13157538.0,"Read JA, Wilkinson KW, Tranter R, Sessions RB, Brady RL. Chloroquine Binds in the Cofactor Binding Site ofPlasmodium falciparum Lactate Dehydrogenase. Journal of Biological Chemistry. 1999 Apr;274(15):10213–8. doi: 10.1074/jbc.274.15.10213.",444810
7,639.0,316.0,1CET_1|Chain, PROTEIN (L-LACTATE DEHYDROGENASE) [Plasmodium falciparum],99.684,pdb|1CEQ|A,0.0,Chain A,1CET,1CEQ,1,A,2.05,1CET,CHLOROQUINE BINDS IN THE COFACTOR BINDING SITE OF PLASMODIUM FALCIPARUM LACTATE DEHYDROGENASE.,X-RAY DIFFRACTION,CLQ,,444810,Q27743|1CET_A,,10187806.0,10.1074/jbc.274.15.10213,,13157538.0,"Read JA, Wilkinson KW, Tranter R, Sessions RB, Brady RL. Chloroquine Binds in the Cofactor Binding Site ofPlasmodium falciparum Lactate Dehydrogenase. Journal of Biological Chemistry. 1999 Apr;274(15):10213–8. doi: 10.1074/jbc.274.15.10213.",444810
8,637.0,316.0,1CET_1|Chain, L-lactate dehydrogenase [Plasmodium falciparum],99.367,pdb|1T24|A,0.0,Chain A,1CET,1T24,1,A,2.05,1CET,CHLOROQUINE BINDS IN THE COFACTOR BINDING SITE OF PLASMODIUM FALCIPARUM LACTATE DEHYDROGENASE.,X-RAY DIFFRACTION,CLQ,,444810,Q27743|1CET_A,,10187806.0,10.1074/jbc.274.15.10213,,13157538.0,"Read JA, Wilkinson KW, Tranter R, Sessions RB, Brady RL. Chloroquine Binds in the Cofactor Binding Site ofPlasmodium falciparum Lactate Dehydrogenase. Journal of Biological Chemistry. 1999 Apr;274(15):10213–8. doi: 10.1074/jbc.274.15.10213.",444810
9,301.0,321.0,1D7O_1|Chain, Enoyl-ACP reductase [Plasmodium falciparum],47.975,pdb|3AM3|A,3.62e-102,Chain A,1D7O,3AM3,1,A,1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
