resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.03,3NDX,HIV-1 Protease Saquinavir:Ritonavir 1:50 complex structure,X-RAY DIFFRACTION,SO4|GOL|CL|DMS|RIT,"",312|753|392622|679|1117,2AZB_A|1MRX_A|2QHC_A|1A30_A|2AVS_A|1SDV_A|1IZI_A|2IEO_A|3VF5_A|2AZC_A|P03367|3VFB_A|3KDB_A|3BVA_A|3DJK_A|1AAQ_A|2P3B_B|3U7S_A|2Q63_A|1A94_A|1SGU_A|2F80_A|3T3C_A|1LZQ_A|2R3T_A|2PYN_A|1ZP8_A|2Q64_A|3GGU_A|3VF7_A|2PYM_A|1SDU_A|2O4L_A|2O4N_A|2FDE_A|4FE6_A|1SDT_A|1AJV_A|3PWM_A|2AZ8_A|2AZ9_A,"","","","","",""
1.14,3NDW,HIV-1 Protease Saquinavir:Ritonavir 1:15 complex structure,X-RAY DIFFRACTION,SO4|NA|ACT|DMS|RIT,"",175|679|392622|923|1117,2AZB_A|1MRX_A|2QHC_A|1A30_A|2AVS_A|1SDV_A|1IZI_A|2IEO_A|3VF5_A|2AZC_A|P03367|3VFB_A|3KDB_A|3BVA_A|3DJK_A|1AAQ_A|2P3B_B|3U7S_A|2Q63_A|1A94_A|1SGU_A|2F80_A|3T3C_A|1LZQ_A|2R3T_A|2PYN_A|1ZP8_A|2Q64_A|3GGU_A|3VF7_A|2PYM_A|1SDU_A|2O4L_A|2O4N_A|2FDE_A|4FE6_A|1SDT_A|1AJV_A|3PWM_A|2AZ8_A|2AZ9_A,"","","","","",""
1.38,3PRS,Endothiapepsin in complex with ritonavir,X-RAY DIFFRACTION,GOL|1PE|PGE|DMS|RIT,"",62551|753|392622|679|8172,P11838|1GVU_A|1EED_P,"",22213702,10.1002/cmdc.201100490,"",22164987,"Behnen J, Köster H, Neudert G, Craan T, Heine A, Klebe G. Experimental and computational active site mapping as a starting point to fragment-based lead discovery. ChemMedChem. 2012 Feb 06;7(2):248–61. doi: 10.1002/cmdc.201100490. PMID: 22213702."
1.4,3Q70,Secreted aspartic protease in complex with ritonavir,X-RAY DIFFRACTION,ZN|MRD|RIT,"",5288845|32051|392622,P0CS83,"","","","","",""
1.8,1HXW,HIV-1 PROTEASE DIMER COMPLEXED WITH A-84538,X-RAY DIFFRACTION,RIT,"",392622,P12499|2WKZ_A|1EBY_A|2AZ8_A|2WL0_A,"",7708670,10.1073/pnas.92.7.2484,PMC42242,5642386,"Kempf DJ, Marsh KC, Denissen JF, McDonald E, Vasavanonda S, Flentge CA, Green BE, Fino L, Park CH, Kong XP. ABT-538 is a potent inhibitor of human immunodeficiency virus protease and has high oral bioavailability in humans. Proc. Natl. Acad. Sci. U.S.A. 1995 Mar 28;92(7):2484–8. doi: 10.1073/pnas.92.7.2484."
1.8,4EYR,Crystal structure of multidrug-resistant clinical isolate 769 HIV-1 protease in complex with ritonavir,X-RAY DIFFRACTION,RIT,"",392622,"","",23313846,10.1016/j.bbrc.2012.12.127,"",32293155,"Liu Z, Yedidi RS, Wang Y, Dewdney TG, Reiter SJ, Brunzelle JS, Kovari IA, Kovari LC. Insights into the mechanism of drug resistance: X-ray structure analysis of multi-drug resistant HIV-1 protease ritonavir complex. Biochemical and Biophysical Research Communications. 2013 Feb;431(2):232–8. doi: 10.1016/j.bbrc.2012.12.127."
1.8,4NJV,Crystal structure of multidrug-resistant clinical isolate A02 HIV-1 protease in complex with ritonavir,X-RAY DIFFRACTION,RIT,"",392622,"","",24752271,10.1128/aac.00107-14,PMC4068604,1835161,"Yedidi RS, Garimella H, Aoki M, Aoki-Ogata H, Desai DV, Chang SB, Davis DA, Fyvie WS, Kaufman JD, Smith DW, Das D, Wingfield PT, Maeda K, Ghosh AK, Mitsuya H. A Conserved Hydrogen-Bonding Network of P2 <i>bis</i> -Tetrahydrofuran-Containing HIV-1 Protease Inhibitors (PIs) with a Protease Active-Site Amino Acid Backbone Aids in Their Activity against PI-Resistant HIV. Antimicrob Agents Chemother. 2014 Jul;58(7):3679–88. doi: 10.1128/aac.00107-14."
1.9,7VE0,Crystal Structure of Ritonavir bound Plasmepsin II (PMII) from Plasmodium falciparum,X-RAY DIFFRACTION,EDO|RIT|CPS,"",107670|174|392622,Q8I6V3,811659,"","","","",""
2,3NXU,Crystal structure of human cytochrome P4503A4 bound to an inhibitor ritonavir,X-RAY DIFFRACTION,RIT|DMS|HEM,"",679|392622,P08684,1576,20937904,10.1073/pnas.1010693107,PMC2973003,18755586,"Sevrioukova IF, Poulos TL: Structure and mechanism of the complex between cytochrome P4503A4 and ritonavir. Proc Natl Acad Sci U S A. 2010 Oct 26;107(43):18422-7. doi: 10.1073/pnas.1010693107. Epub 2010 Oct 11."
2,1RL8,Crystal structure of the complex of resistant strain of hiv-1 protease(v82a mutant) with ritonavir,X-RAY DIFFRACTION,RIT,"",392622,2AZB_A|1MRX_A|2QHC_A|1A30_A|2AVS_A|1SDV_A|1IZI_A|2IEO_A|3VF5_A|2AZC_A|P03367|3VFB_A|3KDB_A|3BVA_A|3DJK_A|1AAQ_A|2P3B_B|3U7S_A|2Q63_A|1A94_A|1SGU_A|2F80_A|3T3C_A|1LZQ_A|2R3T_A|2PYN_A|1ZP8_A|2Q64_A|3GGU_A|3VF7_A|2PYM_A|1SDU_A|2O4L_A|2O4N_A|2FDE_A|4FE6_A|1SDT_A|1AJV_A|3PWM_A|2AZ8_A|2AZ9_A,"","","","","",""
