resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.798,7WF5,c-Src in complex with ponatinib,X-RAY DIFFRACTION,0LI,"",24826799,P00523|3SVV_A|1PRL_C|3U4W_A|3G6H_B|2QQ7_A|2OIQ_A|2HWO_A,396442,35151199,10.1016/j.bbrc.2022.02.001,"",29850072,"Guo M, Duan Y, Dai S, Li J, Chen X, Qu L, Chen Z, Wei H, Jiang L, Chen Y. Structural study of ponatinib in inhibiting SRC kinase. Biochemical and Biophysical Research Communications. 2022 Apr;598():15–9. doi: 10.1016/j.bbrc.2022.02.001."
1.85,4UXQ,FGFR4 in complex with Ponatinib,X-RAY DIFFRACTION,SO4|0LI,"",24826799|1117,P22455,2264,25465127,10.1016/j.str.2014.09.019,"",22211490,"Tucker JA, Klein T, Breed J, Breeze AL, Overman R, Phillips C, Norman RA. Structural insights into FGFR kinase isoform selectivity: diverse binding modes of AZD4547 and ponatinib in complex with FGFR1 and FGFR4. Structure. 2014 Dec 02;22(12):1764–74. doi: 10.1016/j.str.2014.09.019. PMID: 25465127."
1.9,3IK3,"AP24534, a Pan-BCR-ABL Inhibitor for Chronic Myeloid Leukemia, Potently Inhibits the T315I Mutant and Overcomes Mutation-Based Resistance",X-RAY DIFFRACTION,0LI,"",24826799,P00520|1IEP_A|2Z60_A|3OY3_A|3OXZ_A|2QOH_A,11350,19878872,10.1016/j.ccr.2009.09.028,PMC2804470,25145674,"O'Hare T, Shakespeare WC, Zhu X, Eide CA, Rivera VM, Wang F, Adrian LT, Zhou T, Huang WS, Xu Q, Metcalf CA 3rd, Tyner JW, Loriaux MM, Corbin AS, Wardwell S, Ning Y, Keats JA, Wang Y, Sundaramoorthi R, Thomas M, Zhou D, Snodgrass J, Commodore L, Sawyer TK, Dalgarno DC, Deininger MW, Druker BJ, Clackson T: AP24534, a pan-BCR-ABL inhibitor for chronic myeloid leukemia, potently inhibits the T315I mutant and overcomes mutation-based resistance. Cancer Cell. 2009 Nov 6;16(5):401-12. doi: 10.1016/j.ccr.2009.09.028."
1.901,4QRC,Crystal Structure of the Tyrosine Kinase Domain of FGF Receptor 4 in Complex with Ponatinib,X-RAY DIFFRACTION,SO4|0LI,"",24826799|1117,P22455,2264,25317566,10.1021/cb500674s,PMC4301177,5262163,"Huang Z, Tan L, Wang H, Liu Y, Blais S, Deng J, Neubert TA, Gray NS, Li X, Mohammadi M. DFG-out mode of inhibition by an irreversible type-1 inhibitor capable of overcoming gate-keeper mutations in FGF receptors. ACS Chem Biol. 2015 Jan 16;10(1):299–309. PMID: 25317566; PMCID: PMC4301177."
1.92,3ZOS,Structure of the DDR1 kinase domain in complex with ponatinib,X-RAY DIFFRACTION,EDO|0LI,"",24826799|174,Q08345,780,24768818,10.1016/j.jmb.2014.04.014,PMC4058747,33680448,"Canning P, Tan L, Chu K, Lee SW, Gray NS, Bullock AN. Structural Mechanisms Determining Inhibition of the Collagen Receptor DDR1 by Selective and Multi-Targeted Type II Kinase Inhibitors. Journal of Molecular Biology. 2014 Jun;426(13):2457–70. doi: 10.1016/j.jmb.2014.04.014."
1.94,6TU9,The ROR1 Pseudokinase Domain Bound To Ponatinib,X-RAY DIFFRACTION,0LI,"",24826799,Q01973,4919,32619402,10.1016/j.molcel.2020.06.018,PMC7543951,29121137,"Sheetz JB, Mathea S, Karvonen H, Malhotra K, Chatterjee D, Niininen W, Perttilä R, Preuss F, Suresh K, Stayrook SE, Tsutsui Y, Radhakrishnan R, Ungureanu D, Knapp S, Lemmon MA. Structural Insights into Pseudokinase Domains of Receptor Tyrosine Kinases. Molecular Cell. 2020 Aug;79(3):390–405.e7. doi: 10.1016/j.molcel.2020.06.018."
2,4U0I,Crystal structure of KIT in complex with ponatinib,X-RAY DIFFRACTION,PO4|0LI,"",1061|24826799,P10721|3G0E_A|3G0F_A,3815,25239608,10.1158/1078-0432.ccr-14-1397,PMC4233175,19512521,"Garner AP, Gozgit JM, Anjum R, Vodala S, Schrock A, Zhou T, Serrano C, Eilers G, Zhu M, Ketzer J, Wardwell S, Ning Y, Song Y, Kohlmann A, Wang F, Clackson T, Heinrich MC, Fletcher JA, Bauer S, Rivera VM. Ponatinib inhibits polyclonal drug-resistant KIT oncoproteins and shows therapeutic potential in heavily pretreated gastrointestinal stromal tumor (GIST) patients. Clin Cancer Res. 2014 Nov 15;20(22):5745–55. PMID: 25239608; PMCID: PMC4233175."
2.11,6P3D,The co-crystal structure of BRAF(V600E) with ponatinib,X-RAY DIFFRACTION,SO4|EDO|0LI|NH4,"",223|24826799|174|1117,P15056|4DBN_A|3OG7_A|3IDP_B|3C4C_A|3II5_A|3D4Q_A|3Q96_A,673,32873792,10.1038/s41467-020-18123-2,PMC7462985,21676426,"Cotto-Rios XM, Agianian B, Gitego N, Zacharioudakis E, Giricz O, Wu Y, Zou Y, Verma A, Poulikakos PI, Gavathiotis E. Inhibitors of BRAF dimers using an allosteric site. Nature Communications. 2020 Sep 01;11(1):4370. doi: 10.1038/s41467-020-18123-2."
2.12,4V04,FGFR1 in complex with ponatinib.,X-RAY DIFFRACTION,0LI|SO4|EDO,"",24826799|174|1117,2I0V_A|4F63_A|P11362|3TT0_A|1AGW_A|3RHX_B|3C4F_A,2260,25465127,10.1016/j.str.2014.09.019,"",22211490,"Tucker JA, Klein T, Breed J, Breeze AL, Overman R, Phillips C, Norman RA. Structural insights into FGFR kinase isoform selectivity: diverse binding modes of AZD4547 and ponatinib in complex with FGFR1 and FGFR4. Structure. 2014 Dec 02;22(12):1764–74. doi: 10.1016/j.str.2014.09.019. PMID: 25465127."
2.2,3OXZ,Crystal structure of ABL kinase domain bound with a DFG-out inhibitor AP24534,X-RAY DIFFRACTION,0LI,"",24826799,P00520|1IEP_A|2Z60_A|3OY3_A|3OXZ_A|2QOH_A,11350,21118377,10.1111/j.1747-0285.2010.01054.x,"",20123817,Zhou T et al; Chem Biol Drug Des 77 (1): 1-11 (2011)
