resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.32,5EEI,Crystal structure of Danio rerio histone deacetylase 6 catalytic domain 2 in complex with SAHA,X-RAY DIFFRACTION,GOL|CL|ZN|MG|K|SHH|EDO,"",5311|174|813|32051|888|312|753,"","",27454933,10.1038/nchembio.2134,PMC4990478,14842289,10.1038/nchembio.2134
1.50048,7JVU,Crystal structure of human histone deacetylase 8 (HDAC8) I45T mutation complexed with SAHA,X-RAY DIFFRACTION,SHH|ZN|EDO|K,"",813|5311|32051|174,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869,33316326,10.1016/j.jsb.2020.107681,PMC7981260,16997693,"Osko JD, Porter NJ, Decroos C, Lee MS, Watson PR, Raible SE, Krantz ID, Deardorff MA, Christianson DW. Structural analysis of histone deacetylase 8 mutants associated with Cornelia de Lange Syndrome spectrum disorders. Journal of Structural Biology. 2021 Mar;213(1):107681. doi: 10.1016/j.jsb.2020.107681."
1.57,1ZZ1,Crystal structure of a HDAC-like protein with SAHA bound,X-RAY DIFFRACTION,SHH|ZN|K,"",813|5311|32051,Q70I53|2VCG_A|1ZZ1_A,"",16242151,10.1016/j.jmb.2005.09.065,"",26790632,"Nielsen TK, Hildmann C, Dickmanns A, Schwienhorst A, Ficner R. Crystal structure of a bacterial class 2 histone deacetylase homologue. J Mol Biol. 2005 Nov 18;354(1):107–20. doi: 10.1016/j.jmb.2005.09.065. PMID: 16242151."
1.66,4R7L,Structure of Human Leukotriene A4 Hydrolase in complex with inhibitor H1,X-RAY DIFFRACTION,GOL|YB|IMD|ACT|ZN|SHH,"",5311|444234|32051|105055|753|175,3B7R_L|3CHO_A|P09960|2R59_A,4048,"","","","",""
1.75,9GKX,Crystal Structure of Rhizorhabdus wittichii Dimethoate hydrolase (DmhA) in complex with SAHA,X-RAY DIFFRACTION,K|ZN|OCA|SHH,"",813|5311|32051|379,"","",39489725,10.1038/s41467-024-53903-0,PMC11532494,37947692,"Graf LG, Moreno-Yruela C, Qin C, Schulze S, Palm GJ, Schmöker O, Wang N, Hocking DM, Jebeli L, Girbardt B, Berndt L, Dörre B, Weis DM, Janetzky M, Albrecht D, Zühlke D, Sievers S, Strugnell RA, Olsen CA, Hofmann K, Lammers M. Distribution and diversity of classical deacylases in bacteria. Nat Commun. 2024 Nov 03;15(1). doi: 10.1038/s41467-024-53903-0."
1.85,4LXZ,Structure of Human HDAC2 in complex with SAHA (vorinostat),X-RAY DIFFRACTION,NHE|NA|PG4|CA|ZN|SHH,"",271|5311|8200|32051|923|66898,Q92769|3MAX_A,3066,23897821,10.1074/jbc.m113.490706,PMC3772242,16792099,"Lauffer BEL, Mintzer R, Fong R, Mukund S, Tam C, Zilberleyb I, Flicke B, Ritscher A, Fedorowicz G, Vallero R, Ortwine DF, Gunzner J, Modrusan Z, Neumann L, Koth CM, Lupardus PJ, Kaminker JS, Heise CE, Steiner P. Histone Deacetylase (HDAC) Inhibitor Kinetic Rate Constants Correlate with Cellular Histone Acetylation but Not Transcription and Cell Viability. Journal of Biological Chemistry. 2013 Sep;288(37):26926–43. doi: 10.1074/jbc.m113.490706."
1.88,7ZZS,HDAC2 complexed with an inhibitory ligand,X-RAY DIFFRACTION,KZF|PEG|NA|PG4|CA|ZN|KK0|SHH|EDO,"",271|5311|174|8200|32051|923|66898|8117|71662117,Q92769|3MAX_A,3066,36262388,10.1021/acsmedchemlett.2c00272,PMC9575179,34895327,"Tamanini E, Miyamura S, Buck IM, Cons BD, Dawson L, East C, Futamura T, Goto S, Griffiths-Jones C, Hashimoto T, Heightman TD, Ishikawa S, Ito H, Kaneko Y, Kawato T, Kondo K, Kurihara N, McCarthy JM, Mori Y, Nagase T, Nakaishi Y, Reeks J, Sato A, Schöpf P, Tai K, Tamai T, Tisi D, Woolford AJ-. Fragment-Based Discovery of a Novel, Brain Penetrant, Orally Active HDAC2 Inhibitor. ACS Med. Chem. Lett. 2022 Sep 06;13(10):1591–7. doi: 10.1021/acsmedchemlett.2c00272."
1.9,9GKV,Crystal Structure of Deacetylase (HdaH) from Vibrio cholerae in complex with SAHA,X-RAY DIFFRACTION,K|ACT|ZN|SHH,"",175|813|5311|32051,"","",39489725,10.1038/s41467-024-53903-0,PMC11532494,37947692,"Graf LG, Moreno-Yruela C, Qin C, Schulze S, Palm GJ, Schmöker O, Wang N, Hocking DM, Jebeli L, Girbardt B, Berndt L, Dörre B, Weis DM, Janetzky M, Albrecht D, Zühlke D, Sievers S, Strugnell RA, Olsen CA, Hofmann K, Lammers M. Distribution and diversity of classical deacylases in bacteria. Nat Commun. 2024 Nov 03;15(1). doi: 10.1038/s41467-024-53903-0."
1.95,9GN6,Crystal Structure of Deacetylase (HdaH) from Klebsiella pneumoniae subsp. ozaenae in complex with the inhibitor SAHA,X-RAY DIFFRACTION,K|ZN|SHH,"",813|5311|32051,"","",39489725,10.1038/s41467-024-53903-0,PMC11532494,37947692,"Graf LG, Moreno-Yruela C, Qin C, Schulze S, Palm GJ, Schmöker O, Wang N, Hocking DM, Jebeli L, Girbardt B, Berndt L, Dörre B, Weis DM, Janetzky M, Albrecht D, Zühlke D, Sievers S, Strugnell RA, Olsen CA, Hofmann K, Lammers M. Distribution and diversity of classical deacylases in bacteria. Nat Commun. 2024 Nov 03;15(1). doi: 10.1038/s41467-024-53903-0."
2,4BZ6,Crystal structure of Schistosoma mansoni HDAC8 complexed with SAHA,X-RAY DIFFRACTION,GOL|DMF|ZN|K|SHH,"",5311|813|32051|753|6228,"","",24086136,10.1371/journal.ppat.1003645,PMC3784479,2479186,"Marek M, Kannan S, Hauser A, Moraes Mourão M, Caby S, Cura V, Stolfa DA, Schmidtkunz K, Lancelot J, Andrade L, Renaud J, Oliveira G, Sippl W, Jung M, Cavarelli J, Pierce RJ, Romier C. Structural Basis for the Inhibition of Histone Deacetylase 8 (HDAC8), a Key Epigenetic Player in the Blood Fluke Schistosoma mansoni. PLoS Pathog. 2013 Sep 26;9(9):e1003645. doi: 10.1371/journal.ppat.1003645."
2.1,3C0Z,Crystal structure of catalytic domain of human histone deacetylase HDAC7 in complex with SAHA,X-RAY DIFFRACTION,SHH|ZN|K,"",813|5311|32051,3C0Z_A|Q8WUI4,51564,18285338,10.1074/jbc.m707362200,PMC2431080,33576594,"Schuetz A, Min J, Allali-Hassani A, Schapira M, Shuen M, Loppnau P, Mazitschek R, Kwiatkowski NP, Lewis TA, Maglathin RL, McLean TH, Bochkarev A, Plotnikov AN, Vedadi M, Arrowsmith CH. Human HDAC7 Harbors a Class IIa Histone Deacetylase-specific Zinc Binding Motif and Cryptic Deacetylase Activity. Journal of Biological Chemistry. 2008 Apr;283(17):11355–63. doi: 10.1074/jbc.m707362200."
2.1,7SGG,Crystal Structure of Danio rerio Histone Deacetylase 10 in Complex with SAHA,X-RAY DIFFRACTION,PEG|PO4|NA|ZN|K|SHH,"",5311|813|32051|923|1061|8117,F1QCV2,327253,36200994,10.1021/jacs.2c05030,PMC9588710,34508507,"Steimbach RR, Herbst-Gervasoni CJ, Lechner S, Stewart TM, Klinke G, Ridinger J, Géraldy MNE, Tihanyi G, Foley JR, Uhrig U, Kuster B, Poschet G, Casero RA, Médard G, Oehme I, Christianson DW, Gunkel N, Miller AK. Aza-SAHA Derivatives Are Selective Histone Deacetylase 10 Chemical Probes That Inhibit Polyamine Deacetylation and Phenocopy HDAC10 Knockout. J Am Chem Soc. 2022 Oct 19;144(41):18861–75. PMID: 36200994; PMCID: PMC9588710."
2.242,4QA0,Crystal structure of C153F HDAC8 in complex with SAHA,X-RAY DIFFRACTION,SHH|GOL|ZN|K,"",813|5311|32051|753,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869,25075551,10.1021/cb5003762,PMC4168803,12775902,"Decroos C, Bowman CM, Moser JA, Christianson KE, Deardorff MA, Christianson DW. Compromised structure and function of HDAC8 mutants identified in Cornelia de Lange Syndrome spectrum disorders. ACS Chem Biol. 2014 Sep 19;9(9):2157–64. PMID: 25075551; PMCID: PMC4168803."
