resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
1.1,3O5R,Complex of Fk506 with the Fk1 domain mutant A19T of FKBP51,X-RAY DIFFRACTION,FK5,"",445643,Q13451|4DRK_A,2289,21636895,10.1107/s0907444911013862,"",8659142,"Bracher A, Kozany C, Thost AK, Hausch F. Structural characterization of the PPIase domain of FKBP51, a cochaperone of human Hsp90. Acta Crystallogr D Biol Crystallogr. 2011 Jun;67(Pt 6):549–59. doi: 10.1107/s0907444911013862. PMID: 21636895."
1.13,6J2M,Crystal structure of AtFKBP53 C-terminal domain,X-RAY DIFFRACTION,FK5|CL,"",312|445643,Q93ZG9,828637,31807785,10.1093/nar/gkz1153,PMC7026663,20997685,"Singh AK, Datta A, Jobichen C, Luan S, Vasudevan D. AtFKBP53: a chimeric histone chaperone with functional nucleoplasmin and PPIase domains. Nucleic Acids Res. 2020 Feb 20;48(3):1531–50. PMID: 31807785; PMCID: PMC7026663."
1.3,5HUA,Structure of C. glabrata FKBP12-FK506 complex,X-RAY DIFFRACTION,FK5,"",445643,Q6FMA3,2890244,27118592,10.1128/mbio.00492-16,PMC4850266,16868140,"Tonthat NK, Juvvadi PR, Zhang H, Lee SC, Venters R, Spicer L, Steinbach WJ, Heitman J, Schumacher MA. Structures of Pathogenic Fungal FKBP12s Reveal Possible Self-Catalysis Function. mBio. 2016 Apr 26;7(2):e00492–16. PMID: 27118592; PMCID: PMC4850266."
1.5,3UF8,Crystal structure of a SMT fusion Peptidyl-prolyl cis-trans isomerase with a G95A surface mutation from Burkholderia pseudomallei complexed with FK506,X-RAY DIFFRACTION,FK5,"",445643,Q12306,852122,24366729,10.1128/aac.01875-13,PMC3957879,26966061,"Begley DW, Fox D, Jenner D, Juli C, Pierce PG, Abendroth J, Muruthi M, Safford K, Anderson V, Atkins K, Barnes SR, Moen SO, Raymond AC, Stacy R, Myler PJ, Staker BL, Harmer NJ, Norville IH, Holzgrabe U, Sarkar-Tyson M, Edwards TE, Lorimer DD. A structural biology approach enables the development of antimicrobials targeting bacterial immunophilins. Antimicrob Agents Chemother. 2014;58(3):1458–67. PMID: 24366729; PMCID: PMC3957879."
1.55,3UQA,Crystal structure of a SMT fusion Peptidyl-prolyl cis-trans isomerase with surface mutation A54E from Burkholderia pseudomallei complexed with FK506,X-RAY DIFFRACTION,FK5|CL|PEG,"",312|8117|445643,Q12306,852122,24366729,10.1128/aac.01875-13,PMC3957879,26966061,"Begley DW, Fox D, Jenner D, Juli C, Pierce PG, Abendroth J, Muruthi M, Safford K, Anderson V, Atkins K, Barnes SR, Moen SO, Raymond AC, Stacy R, Myler PJ, Staker BL, Harmer NJ, Norville IH, Holzgrabe U, Sarkar-Tyson M, Edwards TE, Lorimer DD. A structural biology approach enables the development of antimicrobials targeting bacterial immunophilins. Antimicrob Agents Chemother. 2014;58(3):1458–67. PMID: 24366729; PMCID: PMC3957879."
1.55,3VAW,Crystal structure of a smt fusion peptidyl-prolyl cis-trans isomerase with surface mutation v3i from burkholderia pseudomallei complexed with fk506,X-RAY DIFFRACTION,FK5,"",445643,Q12306,852122,24366729,10.1128/aac.01875-13,PMC3957879,26966061,"Begley DW, Fox D, Jenner D, Juli C, Pierce PG, Abendroth J, Muruthi M, Safford K, Anderson V, Atkins K, Barnes SR, Moen SO, Raymond AC, Stacy R, Myler PJ, Staker BL, Harmer NJ, Norville IH, Holzgrabe U, Sarkar-Tyson M, Edwards TE, Lorimer DD. A structural biology approach enables the development of antimicrobials targeting bacterial immunophilins. Antimicrob Agents Chemother. 2014;58(3):1458–67. PMID: 24366729; PMCID: PMC3957879."
1.599,4ODO,Structure of SlyD from Thermus thermophilus in complex with FK506,X-RAY DIFFRACTION,GOL|FK5|BTB|CL|MG,"",81462|312|888|753|445643,"","",27664121,10.1186/s12915-016-0300-3,PMC5034536,18205323,2016; 14(1):82
1.6,1BKF,FK506 BINDING PROTEIN FKBP MUTANT R42K/H87V COMPLEX WITH IMMUNOSUPPRESSANT FK506,X-RAY DIFFRACTION,FK5,"",445643,P62942|1A7X_A|P62943|1BL4_A,2280,"","","","",""
1.67,3IHZ,Crystal structure of the FK506 binding domain of Plasmodium vivax FKBP35 in complex with FK506,X-RAY DIFFRACTION,FK5,"",445643,"","",20572013,10.1002/pro.438,PMC2923510,22121142,"Alag R, Qureshi IA, Bharatham N, Shin J, Lescar J, Yoon HS. NMR and crystallographic structures of the FK506 binding domain of human malarial parasite <i>Plasmodium vivax</i> FKBP35. Protein Science. 2010 Jul 21;19(8):1577–86. doi: 10.1002/pro.438."
1.7,1FKF,"ATOMIC STRUCTURE OF FKBP-FK506, AN IMMUNOPHILIN-IMMUNOSUPPRESSANT COMPLEX",X-RAY DIFFRACTION,FK5,"",445643,P62942|1A7X_A|P62943|1BL4_A,2280,1709302,10.1126/science.1709302,"",19070524,"Van Duyne GD, Standaert RF, Karplus PA, Schreiber SL, Clardy J. Atomic Structure of FKBP-FK506, an Immunophilin-Immunosuppressant Complex. Science. 1991 May 10;252(5007):839–42. doi: 10.1126/science.1709302."
1.7,1FKJ,"ATOMIC STRUCTURE OF FKBP12-FK506, AN IMMUNOPHILIN IMMUNOSUPPRESSANT COMPLEX",X-RAY DIFFRACTION,FK5,"",445643,P62942|1A7X_A|P62943|1BL4_A,2280,15299838,10.1107/s0907444994014514,"",17309312,"Wilson KP, Yamashita MM, Sintchak MD, Rotstein SH, Murcko MA, Boger J, Thomson JA, Fitzgibbon MJ, Black JR, Navia MA. Comparative X-ray structures of the major binding protein for the immunosuppressant FK506 (tacrolimus) in unliganded form and in complex with FK506 and rapamycin. Acta Crystallogr D Biol Crystallogr. 1995 Jul 01;51(Pt 4):511–21. doi: 10.1107/s0907444994014514. PMID: 15299838."
1.72,2FKE,"FK-506-BINDING PROTEIN: THREE-DIMENSIONAL STRUCTURE OF THE COMPLEX WITH THE ANTAGONIST L-685,818",X-RAY DIFFRACTION,FK5,"",445643,P62942|1A7X_A|P62943|1BL4_A,2280,7684380,10.1016/s0021-9258(18)82129-9,"",5618293,"Becker JW, Rotonda J, McKeever BM, Chan HK, Marcy AI, Wiederrecht G, Hermes JD, Springer JP. FK-506-binding protein: three-dimensional structure of the complex with the antagonist L-685,818. Journal of Biological Chemistry. 1993 May;268(15):11335–9. doi: 10.1016/s0021-9258(18)82129-9."
1.83,5D75,Crystal structure of Human FKBD25 in complex with FK506,X-RAY DIFFRACTION,JEF|FK5,"",445643,Q00688|1PBK_A,2287,26749369,10.1002/pro.2875,PMC4941220,7375853,"Prakash A, Rajan S, Yoon HS. Crystal structure of the <scp>FK</scp>506 binding domain of human <scp>FKBP</scp>25 in complex with <scp>FK</scp>506. Protein Science. 2016 Feb;25(4):905–10. doi: 10.1002/pro.2875."
1.85,5B8I,Crystal structure of Calcineurin A and Calcineurin B in complex with FKBP12 and FK506 from Coccidioides immitis RS,X-RAY DIFFRACTION,FK5|FE|CA|ZN|EDO|MES,"",271|174|32051|78165|445643|29936,"","",31537789,10.1038/s41467-019-12199-1,PMC6753081,7476083,"Juvvadi PR, Fox D, Bobay BG, Hoy MJ, Gobeil SMC, Venters RA, Chang Z, Lin JJ, Averette AF, Cole DC, Barrington BC, Wheaton JD, Ciofani M, Trzoss M, Li X, Lee SC, Chen Y, Mutz M, Spicer LD, Schumacher MA, Heitman J, Steinbach WJ. Harnessing calcineurin-FK506-FKBP12 crystal structures from invasive fungal pathogens to develop antifungal agents. Nat Commun. 2019 Sep 19;10(1). doi: 10.1038/s41467-019-12199-1."
1.9,7U0U,Crystal Structure of a Aspergillus fumigatus Calcineurin A - Calcineurin B fusion bound to FKBP12 and FK-506,X-RAY DIFFRACTION,PG4|CA|FK5|PO4,"",1061|271|8200|445643,Q4WUR1,3511045,35604094,10.1128/mbio.01049-22,PMC9239059,34082834,"Hoy MJ, Park E, Lee H, Lim WY, Cole DC, DeBouver ND, Bobay BG, Pierce PG, Fox D, Ciofani M, Juvvadi PR, Steinbach W, Hong J, Heitman J. Structure-Guided Synthesis of FK506 and FK520 Analogs with Increased Selectivity Exhibit In Vivo Therapeutic Efficacy against Cryptococcus. mBio. 2022 Jun 28;13(3):e0104922. PMID: 35604094; PMCID: PMC9239059."
1.9,3UQB,Crystal structure of a SMT Fusion PEPTIDYL-PROLYL CIS-TRANS ISOMERASE with surface mutation D44G from Burkholderia pseudomallei complexed with FK506,X-RAY DIFFRACTION,FK5,"",445643,Q12306,852122,24366729,10.1128/aac.01875-13,PMC3957879,26966061,"Begley DW, Fox D, Jenner D, Juli C, Pierce PG, Abendroth J, Muruthi M, Safford K, Anderson V, Atkins K, Barnes SR, Moen SO, Raymond AC, Stacy R, Myler PJ, Staker BL, Harmer NJ, Norville IH, Holzgrabe U, Sarkar-Tyson M, Edwards TE, Lorimer DD. A structural biology approach enables the development of antimicrobials targeting bacterial immunophilins. Antimicrob Agents Chemother. 2014;58(3):1458–67. PMID: 24366729; PMCID: PMC3957879."
1.929,4ODR,Structure of SlyD delta-IF from Thermus thermophilus in complex with FK506,X-RAY DIFFRACTION,GOL|FK5|CL|ACT|ZN,"",32051|312|753|175|445643,P62942|1A7X_A|P62943|1BL4_A,2280,27664121,10.1186/s12915-016-0300-3,PMC5034536,18205323,2016; 14(1):82
1.98,4NNR,FKBP13-FK506 Complex,X-RAY DIFFRACTION,FK5,"",445643,P26885,2286,"","","","",""
2,4DZ2,Crystal structure of a Peptidyl-prolyl cis-trans isomerase with surface mutation R92G from Burkholderia pseudomallei complexed with FK506,X-RAY DIFFRACTION,CA|FK5,"",271|445643,"","",24366729,10.1128/aac.01875-13,PMC3957879,26966061,"Begley DW, Fox D, Jenner D, Juli C, Pierce PG, Abendroth J, Muruthi M, Safford K, Anderson V, Atkins K, Barnes SR, Moen SO, Raymond AC, Stacy R, Myler PJ, Staker BL, Harmer NJ, Norville IH, Holzgrabe U, Sarkar-Tyson M, Edwards TE, Lorimer DD. A structural biology approach enables the development of antimicrobials targeting bacterial immunophilins. Antimicrob Agents Chemother. 2014;58(3):1458–67. PMID: 24366729; PMCID: PMC3957879."
