resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
0,7CX2,Cryo-EM structure of the PGE2-bound EP2-Gs complex,ELECTRON MICROSCOPY,P2E,"",5280360,P59768|P84996|P63092|Q5JWF2|P43116|P62873,54331|2778|5732|2782,33811074,10.1126/sciadv.abf1268,PMC11057787,28475105,"Qu C, Mao C, Xiao P, Shen Q, Zhong Y, Yang F, Shen D, Tao X, Zhang H, Yan X, Zhao R, He J, Guan Y, Zhang C, Hou G, Zhang P, Hou G, Li Z, Yu X, Chai R, Guan Y, Sun J, Zhang Y. Ligand recognition, unconventional activation, and G protein coupling of the prostaglandin E <sub>2</sub> receptor EP2 subtype. Sci. Adv. 2021 Apr 02;7(14). doi: 10.1126/sciadv.abf1268."
1.9,3WFH,Crystal structure of anti-Prostaglandin E2 Fab fragment PGE2 complex,X-RAY DIFFRACTION,P2E,"",5280360,"","","","","","",""
2.55,9M1H,Cryo-EM structure of PGE2-EP1-Gq complex,ELECTRON MICROSCOPY,P2E,"",5280360,P59768|P84996|P63092|Q5JWF2|P62873|P50148|P34995|P63096|2G83_A|3QI2_A,54331|2778|2782|2776|5731|2770,"","","","",""
2.9,6AK3,Crystal structure of the human prostaglandin E receptor EP3 bound to prostaglandin E2,X-RAY DIFFRACTION,POV|P2E,"",5280360|10908846,P43115|P0ABE7|4EA3_A,5733,30510192,10.1038/s41589-018-0171-8,"",2598686,2018; 15(1):8-10
2.9,8SXB,Bovine multidrug resistance protein 4 (MRP4) bound to prostaglandin E2 in MSP lipid nanodisc,ELECTRON MICROSCOPY,P2E,"",5280360,"","",38216659,10.1038/s41594-023-01176-4,PMC11145372,36723148,2024; 31(4):621-632
3.1,8GCP,Cryo-EM Structure of the Prostaglandin E2 Receptor 4 Coupled to G Protein,ELECTRON MICROSCOPY,P2E,"",5280360,P63096|2G83_A|3QI2_A|P62873|P35408,2770|2782|5734,37478163,10.1073/pnas.2216329120,PMC10372679,36015951,"Huang SM, Xiong MY, Liu L, Mu J, Wang MW, Jia YL, Cai K, Tie L, Zhang C, Cao S, Wen X, Wang JL, Guo SC, Li Y, Qu CX, He QT, Cai BY, Xue C, Gan S, Xie Y, Cong X, Yang Z, Kong W, Li S, Li Z, Xiao P, Yang F, Yu X, Guan YF, Zhang X, Liu Z, Yang BX, Du Y, Sun JP. Single hormone or synthetic agonist induces Gs/Gi coupling selectivity of EP receptors via distinct binding modes and propagating paths. Proc Natl Acad Sci U S A. 2023 Jul 25;120(30):e2216329120. PMID: 37478163; PMCID: PMC10372679."
3.1,8GDB,Cryo-EM Structure of the Prostaglandin E2 Receptor 4 Coupled to G Protein,ELECTRON MICROSCOPY,P2E,"",5280360,P62873|P35408|P84996|P63092|Q5JWF2,2782|5734|2778,37478163,10.1073/pnas.2216329120,PMC10372679,36015951,"Huang SM, Xiong MY, Liu L, Mu J, Wang MW, Jia YL, Cai K, Tie L, Zhang C, Cao S, Wen X, Wang JL, Guo SC, Li Y, Qu CX, He QT, Cai BY, Xue C, Gan S, Xie Y, Cong X, Yang Z, Kong W, Li S, Li Z, Xiao P, Yang F, Yu X, Guan YF, Zhang X, Liu Z, Yang BX, Du Y, Sun JP. Single hormone or synthetic agonist induces Gs/Gi coupling selectivity of EP receptors via distinct binding modes and propagating paths. Proc Natl Acad Sci U S A. 2023 Jul 25;120(30):e2216329120. PMID: 37478163; PMCID: PMC10372679."
3.3,7D7M,Cryo-EM Structure of the Prostaglandin E Receptor EP4 Coupled to G Protein,ELECTRON MICROSCOPY,P2E,"",5280360,P59768|P84996|P63092|Q5JWF2|P35408|P62873,54331|2778|5734|2782,33264604,10.1016/j.str.2020.11.007,"",4018499,"Nojima S, Fujita Y, Kimura KT, Nomura N, Suno R, Morimoto K, Yamamoto M, Noda T, Iwata S, Shigematsu H, Kobayashi T. Cryo-EM Structure of the Prostaglandin E Receptor EP4 Coupled to G Protein. Structure. 2021 Mar 04;29(3):252–260.e6. doi: 10.1016/j.str.2020.11.007. PMID: 33264604."
3.4,8KGW,Molecular mechanism of prostaglandin transporter SLCO2A1,ELECTRON MICROSCOPY,P2E,"",5280360,Q92959,6578,"","","","",""
3.5,8GDC,Cryo-EM Structure of the Prostaglandin E2 Receptor 3 Coupled to G Protein,ELECTRON MICROSCOPY,P2E,"",5280360,P63096|2G83_A|3QI2_A|P62873|P43115,2770|2782|5733,37478163,10.1073/pnas.2216329120,PMC10372679,36015951,"Huang SM, Xiong MY, Liu L, Mu J, Wang MW, Jia YL, Cai K, Tie L, Zhang C, Cao S, Wen X, Wang JL, Guo SC, Li Y, Qu CX, He QT, Cai BY, Xue C, Gan S, Xie Y, Cong X, Yang Z, Kong W, Li S, Li Z, Xiao P, Yang F, Yu X, Guan YF, Zhang X, Liu Z, Yang BX, Du Y, Sun JP. Single hormone or synthetic agonist induces Gs/Gi coupling selectivity of EP receptors via distinct binding modes and propagating paths. Proc Natl Acad Sci U S A. 2023 Jul 25;120(30):e2216329120. PMID: 37478163; PMCID: PMC10372679."
4,8BWR,Cryo-EM structure of nanodisc-reconstituted wildtype human MRP4 (in complex with prostaglandin E2),ELECTRON MICROSCOPY,P2E,"",5280360,O15439,10257,"","","","",""
