resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
0,6TNU,Yeast 80S ribosome in complex with eIF5A and decoding A-site and P-site tRNAs.,ELECTRON MICROSCOPY,3HE|ZN|SPD,"",6197|32051|1102,P38701|P0C0V8|P0CX29|P0CX30|P10664|P14120|P04456|B3RHV0|P0CX82|P0CX83|P05740|P05750|P39939|P05745|P0CX45|P0CX46|P26786|Q12690|P49166|P0CX27|P0CX28|P05756|P0CX38|P0CX37|P25443|P0CX48|P0CX47|P36105|P26784|P05738|P05749|Q08745|Q3E792|P41805|P41057|P02406|P0CX50|P0CX49|P0CX42|P0CX41|P23301|P17076|P0CX33|P0CX34|P04449|P0CX85|P0CX84|P14127|P0CH08|P0CG74|P0CH09|P05759|P0C2H8|P0CX36|P0CX35|P39516|P0CX26|P0CX25|P0C0W1|P38011|Q3E7X9|P0CX24|P0CX23|P14126|P87262|O13516|P05737|Q3E757|P48589|P04650|P05747|Q02753|P38061|B3LI22|P05739|P0CX31|P0CX32|P35997|P0CX51|P0CX52|P49167|P0C2H6|P05743|P07280|P26321|P05748|Q01855|P0CX55|P0CX56|P05744,856371|853931|853015|852319|852853|853993|852379|853674|855543|856868|855232|850590|854263|851477|850882|855560|851636|852479|856015|852754|851589|853864|854673|852730|850750|854468|852911|850764|851104|852775|854029|852191|856677|856352|850994|852852|851336|852058|854658|851484|853610|853248|856156|853249|850864|855143|854338|855283|854229|856784|856024|852804|852976|854551|853250|850592|852489|852185|851169|856805|853700|855174|851035|856401|851058|854028|855972|850716|854117|852061|855960,32299921,10.1126/science.aay6912,PMC8663607,16982330,"Buschauer R, Matsuo Y, Sugiyama T, Chen YH, Alhusaini N, Sweet T, Ikeuchi K, Cheng J, Matsuki Y, Nobuta R, Gilmozzi A, Berninghausen O, Tesina P, Becker T, Coller J, Inada T, Beckmann R. The Ccr4-Not complex monitors the translating ribosome for codon optimality. Science. 2020 Apr 17;368(6488). PMID: 32299921; PMCID: PMC8663607."
0,6Y0G,Structure of human ribosome in classical-PRE state,ELECTRON MICROSCOPY,3HE|ZN|MG,"",6197|32051|888,P39023|P62861|P62857|P42766|P62750|P62753|P62851|P62277|P62279|P83881|P61353|P62910|P62945|P61247|P62829|P40429|P62854|P63220|P62891|P63244|P62890|P62888|P47914|P62917|P62979|P63173|P62273|P50914|Q96L21|Q9Y3U8|P49207|P61254|P42677|P62241|P46781|P46782|P35268|P18621|P62244|P62847|Q02543|P62263|P62280|P62987|P39019|P46783|P62701|P61313|P26373|P62424|P62266|P83731|Q07020|P84098|Q02878|P62899|P23396|P61927|P62913|P61513|P18124|P15880|P60866|P62081|P18077|P46778|P62841|P62249|P08865|P32969|P08708|P25398|P46779|P62269|P36578|P46777|P46776,6122|2197|6234|11224|6147|6194|6230|6207|6173|6155|6161|6171|6189|9349|23521|6231|6227|6170|10399|6156|6159|6132|6233|6169|6235|9045|140801|25873|6164|6154|6232|6202|6203|6193|6146|6139|6210|6229|6142|6208|6205|7311|6223|6204|6191|6138|6137|6130|6228|6152|6141|6143|6128|6160|6188|6167|6135|6168|6129|6187|6224|6201|6165|6144|6209|6217|3921|6133|6218|6206|6158|6222|6124|6125|6157,32268098,10.1016/j.celrep.2020.03.037,"",28434851,"Bhaskar V, Graff-Meyer A, Schenk AD, Cavadini S, von Loeffelholz O, Natchiar SK, Artus-Revel CG, Hotz HR, Bretones G, Klaholz BP, Chao JA. Dynamics of uS19 C-Terminal Tail during the Translation Elongation Cycle in Human Ribosomes. Cell Rep. 2020 Apr 07;31(1):107473. doi: 10.1016/j.celrep.2020.03.037. PMID: 32268098."
0,8G6J,mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2),ELECTRON MICROSCOPY,HMT|ZN|K|SPD|PHE|YRB|MET|PUT|MG|3HE|GSP,"",6197|1102|285033|135398675|813|32051|888|1045|6140|167714258|6137,P18621|P32969|P27635|P40429|P39019|P42677|P62979|P36578|P62241|P84098|Q9Y3U8|P61927|P61247|P62861|P46776|P18077|P62753|P62847|P68104|P62857|P47914|P62269|P62081|P42766|P62891|P62277|P62279|P62829|P62945|P62244|P08708|P62910|Q02543|Q07020|P62701|P62913|P05388|P46781|P61513|P62263|P62906|P61313|P15880|P25398|P61353|P46783|Q02878|P63220|P46778|P35268|P60866|P62280|P63244|P83731|P62273|P08865|P23396|P46779|P30050|P46782|P62424|P62750|P62854|P62890|P62888|P62851|P18124|P49207|P62899|P63173|P46777|P62249|P62841|P61254|P50914|P39023,6139|6133|6134|23521|6223|6232|6233|6124|6202|6143|25873|6167|6189|2197|6157|6165|6194|6229|1915|6234|6159|6222|6201|11224|6170|6207|9349|6171|6210|6218|6161|6142|6141|6191|6135|6175|6203|6168|6208|4736|6138|6187|6206|6155|6204|6128|6227|6144|6146|6224|6205|10399|6152|6235|3921|6188|6158|6136|6193|6130|6147|6231|6156|6230|6129|6164|6160|6169|6125|6217|6209|6154|9045|6122,37020024,10.1038/s41586-023-05908-w,PMC10156603,35776674,"Holm M, Natchiar KS, Rundlet EJ, Myasnikov AG, Altman RB, Blanchard SC. mRNA decoding in human is kinetically and structurally distinct from bacteria (GA state 2). 2023 Apr 19;(). doi: 10.2210/pdb8g6j/pdb."
0,7N8B,Cycloheximide bound vacant 80S structure isolated from cbf5-D95A,ELECTRON MICROSCOPY,3HE|ZN|MG,"",6197|32051|888,P38701|P0C0V8|P0CX29|P0CX30|P10664|P14120|P04456|P0CX82|P0CX83|P39939|P49166|P05740|P05750|P05745|P0CX45|P0CX46|P26786|P39015|Q12690|P0CX27|P0CX28|P05756|P0CX38|P0CX37|P25443|P0CX48|P0CX47|P0CX39|P0CX40|P26784|P05738|P05749|P36105|Q08745|Q3E792|P41805|P0CX87|P0CX86|P02406|P41057|P0CX50|P0CX49|P0CX42|P0CX41|P17076|P0CX33|P0CX34|P04449|P0CX85|P0CX84|P0CH08|P0CG74|P0CH09|P05759|P06367|P02407|P0C2H8|P0CX36|P0CX35|P0CX26|P0CX25|P0C0W1|P32905|P38011|Q3E7X9|P0CX24|P0CX23|P14126|P87262|O13516|P05737|P33442|P48589|P04650|P05747|Q02753|P38061|P0CX31|P0CX32|P35997|P0CX51|P0CX52|P26783|P49167|P0C2H6|P05743|P07280|P26321|P05748|Q02326|Q01855|P0CX55|P0CX56|P0C0W9|P05744,856371|853931|853015|852319|852853|853993|852379|856868|850882|853674|855543|855232|850590|854263|850843|851477|855560|851636|852479|856015|852754|851589|852206|854673|852730|850750|853864|854468|852911|850764|851344|852775|851104|854029|852191|856352|850994|852852|851336|854658|850397|854984|851484|853610|856156|853249|850864|853128|855143|854338|855283|854229|856784|856024|852804|851162|854551|853250|850592|852489|852185|856805|853700|855174|853587|851035|856401|851058|854028|855972|850716|854902|854117|852061|856217|855960,35489333,10.1016/j.str.2022.04.002,PMC9271598,34217238,"Zhao Y, Rai J, Yu H, Li H. CryoEM structures of pseudouridine-free ribosome suggest impacts of chemical modifications on ribosome conformations. Structure. 2022 Jul 07;30(7):983–992.e5. PMID: 35489333; PMCID: PMC9271598."
2.2,8T2Y,"Hypomethylated yeast 80S bound with cycloheximide, P-site tRNA, and A-site tRNA, messenger RNA, PRE",ELECTRON MICROSCOPY,SPD|ZN|MG|3HE,"",6197|32051|888|1102,P0C0V8|P05740|P0CX87|P0CX86|P17076|P26784|P0CX36|P0CX35|Q02753|Q08745|P02406|P04456|P35997|P05738|P0CX82|P0CX83|P0C2H8|P05744|P0CX33|P0CX34|P0CX31|P0CX32|P0CX85|P0CX84|P0CX51|P0CX52|P0CX48|P0CX47|P05743|P26786|P05749|P49166|P14126|P0CX39|P0CX40|P0CX50|P0CX49|P0CX55|P0CX56|P38011|P0CH08|P0CG74|P0CH09|P05759|P0CX42|P0CX41|Q12690|O13516|P0C2H6|P05748|P05737|P36105|P87262|P32905|P04650|P02407|P05756|P06367|P0CX29|P0CX30|P14120|Q02326|P0CX38|P0CX37|P0CX45|P0CX46|P07280|P0CX27|P0CX28|P0CX26|P0CX25|P05745,853931|853674|851344|856352|854673|853610|852489|854468|852775|853993|853700|852730|852379|851484|855960|850994|856805|851336|855174|851589|851058|854263|850750|850882|854229|852206|854029|852061|855143|854658|852191|851477|856024|856401|850716|852804|853864|856784|853128|853250|854984|851636|850397|853015|852853|854902|852479|856015|850590|854028|855560|856156|855232,"","","","",""
2.4,8T2Z,"Hypomethylated yeast 80S bound with cycloheximide, P-site tRNA, and A-site tRNA, messenger RNA, POST",ELECTRON MICROSCOPY,SPD|ZN|3HE,"",6197|32051|1102,P0C0V8|P05740|P0CX87|P0CX86|P17076|P26784|P0CX36|P0CX35|Q02753|Q08745|P02406|P04456|P35997|P05738|P0CX82|P0CX83|P0C2H8|P05744|P0CX33|P0CX34|P0CX31|P0CX32|P0CX85|P0CX84|P0CX51|P0CX52|P0CX48|P0CX47|P05743|P26786|P05749|P49166|P14126|P0CX39|P0CX40|P0CX50|P0CX49|P0CX55|P0CX56|P38011|P0CH08|P0CG74|P0CH09|P05759|P0CX42|P0CX41|Q12690|O13516|P0C2H6|P05748|P05737|P36105|P87262|P32905|P04650|P02407|P05756|P06367|P0CX29|P0CX30|P14120|Q02326|P0CX38|P0CX37|P0CX45|P0CX46|P07280|P0CX27|P0CX28|P0CX26|P0CX25|P05745,853931|853674|851344|856352|854673|853610|852489|854468|852775|853993|853700|852730|852379|851484|855960|850994|856805|851336|855174|851589|851058|854263|850750|850882|854229|852206|854029|852061|855143|854658|852191|851477|856024|856401|850716|852804|853864|856784|853128|853250|854984|851636|850397|853015|852853|854902|852479|856015|850590|854028|855560|856156|855232,"","","","",""
2.4,8BN3,"Yeast 80S, ES7s delta, eIF5A, Stm1 containing",ELECTRON MICROSCOPY,K|ZN|MG|3HE|SPD,"",6197|1102|813|32051|888,P0CX24|P0CX23|P0CX26|P0CX25|P35997|P0CX38|P0CX37|P05756|P0C2H6|P0CX36|P0CX35|Q02753|P0CX51|P0CX52|P0CX87|P32905|P05749|P05740|P26786|P04456|P0C2H8|P49166|P0CX50|P0CX49|P0CX82|P0CX83|P0CX48|P0CX47|P14120|P0CX44|P0CX43|P05744|P02406|P0CX29|P0CX30|P0CX42|P0CX41|P26784|P04650|P36105|P05743|P07280|P0CX45|P0CX46|P0CX55|P0CX56|P17076|P05745|O13516|P0CX33|P0CX34|P0CX85|P0CX84|P87262|P0CX31|P0CX32|P38011|Q12690|P39516|P0CH08|P0CG74|P0CH09|P05759|P05737|P0C0V8|P0CX27|P0CX28|Q08745,855283|856156|853700|852479|856015|851636|856401|853610|852489|855174|851422|853128|850750|853674|854263|853993|851484|850882|854029|852379|851589|852853|855881|855960|852775|853015|852191|854673|853250|853864|851058|854028|850590|852061|856352|855232|856024|850994|851336|856784|856805|855143|851477|853248|854658|852804|853931|855560|854468,"","","","",""
2.46,8T2X,"Hypomethylated yeast 80S bound with cycloheximide, P-site tRNA, A-site tRNA, messenger RNA and eIF5A, PRE",ELECTRON MICROSCOPY,3HE|SPD|ZN|MG|K,"",6197|1102|813|32051|888,P0C0V8|P05740|P0CX87|P0CX86|P17076|P26784|P0CX36|P0CX35|Q02753|Q08745|P02406|P04456|P35997|P05738|P0CX82|P0CX83|P0C2H8|P05744|P0CX33|P0CX34|P0CX31|P0CX32|P0CX85|P0CX84|P0CX51|P0CX52|P0CX48|P0CX47|P05743|P26786|P05749|P49166|P14126|P0CX39|P0CX40|P0CX50|P0CX49|P0CX55|P0CX56|P38011|P0CH08|P0CG74|P0CH09|P05759|P0CX42|P0CX41|Q12690|O13516|P0C2H6|P05748|P05737|P36105|P87262|P32905|P04650|P02407|P05756|P06367|P0CX29|P0CX30|P14120|Q02326|P0CX38|P0CX37|P0CX45|P0CX46|P07280|P0CX27|P0CX28|P0CX26|P0CX25|P05745,853931|853674|851344|856352|854673|853610|852489|854468|852775|853993|853700|852730|852379|851484|855960|850994|856805|851336|855174|851589|851058|854263|850750|850882|854229|852206|854029|852061|855143|854658|852191|851477|856024|856401|850716|852804|853864|856784|853128|853250|854984|851636|850397|853015|852853|854902|852479|856015|850590|854028|855560|856156|855232,"","","","",""
2.56,7Q08,Structure of Candida albicans 80S ribosome in complex with cycloheximide,ELECTRON MICROSCOPY,3HE|ZN|SPD,"",6197|32051|1102,A0A1D8PK40|Q5A900|A0A1D8PL99|A0A1D8PSK2|Q5ALV6|A0A1D8PCQ5|A0A1D8PK61|Q5AJ93|P83774|A0A1D8PF08|A0A1D8PFL9|A0A1D8PPS1|A0A1D8PP14|Q5A6R1|A0A1D8PEV4|A0A1D8PTR4|A0A1D8PDU3|A0A1D8PL68|A0A1D8PDL6|A0A1D8PN83|A0A1D8PG16|A0A1D8PH21|A0A1D8PSV5|A0A1D8PGY8|A0A1D8PDT4|A0A1D8PSC5|A0A1D8PFG4|P40910|Q59LS1|Q5A109|A0A1D8PCX8|A0A1D8PHH4|A0A1D8PCI6|A0A1D8PDZ1|Q5AIB8|A0A1D8PCW6|A0A1D8PCG7|Q5A389|A0A1D8PK30|A0A1D8PFV1|Q5ANA1|Q59TE0|A0A1D8PDT3|A0A1D8PQQ5|A0A1D8PF45|A0A1D8PF57|Q5ADQ6|A0A1D8PI15|A0A1D8PGY0|A0A1D8PM75|A0A1D8PNQ6|A0A1D8PPE0|A0A1D8PPT5|O42817|Q5AGZ7|A0A1D8PK43|A0A1D8PTI7|Q96W54|A0A1D8PEY9|A0A1D8PHW1|Q5AB87|A0A1D8PQN0|A0A1D8PM41|O59931|A0A1D8PPN6|Q5AG43|A0A1D8PK22|A0A1D8PLC9|A0A1D8PK71|Q59T44|A0A1D8PHF5|Q5A6A1|Q5AEN2|Q5A7K0,3635257|3640242|3635701|30515390|3635787|30514969|30515208|3636573|3645907|30515049|30515072|30515338|30515319|3641025|30515041|30515442|3639515|30515232|30515000|30515301|30515082|3647299|30515104|30515007|30515386|30515062|3636924|3647719|3642934|30514975|30515127|3640195|30515014|3636850|30514974|30514961|3642071|30515207|3643347|3635198|3645439|30515006|3637953|30515053|30515048|3638438|30515149|3637400|30515273|3646972|30515328|3647558|3643678|3637057|3635156|30515429|3639551|30515044|3643489|3639338|30515349|30515267|3636841|30515335|3637700|3635194|3635615|30515205|3645565|30515120|3641174|3638348|3640568,35613268,10.1126/sciadv.abn1062,PMC9132455,34085486,"Zgadzay Y, Kolosova O, Stetsenko A, Wu C, Bruchlen D, Usachev K, Validov S, Jenner L, Rogachev A, Yusupova G, Sachs MS, Guskov A, Yusupov M. E-site drug specificity of the human pathogen Candida albicans ribosome. Sci Adv. 2022 May 27;8(21):eabn1062. PMID: 35613268; PMCID: PMC9132455."
2.59,9CAI,High-resolution C. elegans 80S ribosome structure - class 2,ELECTRON MICROSCOPY,3HE|SPD,"",6197|1102,P48152|P49197|P49041|O02639|Q09533|Q9TXP0|P37165|Q9XVP0|O17570|P48154|P49632|P0CG71|Q20647|P49181|Q95Y04|Q9NEN6|P46769|P52819|Q27389|O01802|P51404|P52821|Q9U2A8|Q19162|P49196|P48166|O01868|Q19877|O01692|P34662|P51403|O45946|P91128|P48156|Q20228|Q9U332|P47991|O45499|P48158|Q9XVF7|Q9N3X2|P34334|P52814|Q95Y90|Q23312|Q9BL19|P49405|P48150|P49180|O44480|P91914|P50880|P91374|Q19869|O18650|O02056|Q22054|Q966C6,175879|176011|178012|172201|174311|178538|175413|172693|180044|175584|176718|176007|176975|173260|173873|175455|171602|175901|177365|175070|180535|175786|174695|178188|172313|176097|177583|178342|171949|177503|174699|173235|176015|173342|175796|180343|177481|176146|179153|176071|172901|171692|174371|176006|174166|24104384|171750|175501|176891|174379|172805|172074|179998|177203,39209556,10.1261/rna.080103.124,PMC11482609,37661493,"Sehgal E, Wohlenberg C, Soukup EM, Viscardi MJ, Serrão VHB, Arribere JA. High-resolution reconstruction of a<i>C. elegans</i>ribosome sheds light on evolutionary dynamics and tissue specificity. RNA. 2024 Aug 29;30(11):1513–28. doi: 10.1261/rna.080103.124."
