resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.427,5I9X,Crystal Structure of Ephrin A2 (EphA2) Receptor Protein Kinase with bosutinib (SKI-606),X-RAY DIFFRACTION,DB8|EDO,,5328940|174,P29317,1969,27768280.0,10.1021/acschembio.6b00709,,31708588.0,"Heinzlmeir S, Kudlinzki D, Sreeramulu S, Klaeger S, Gande SL, Linhard V, Wilhelm M, Qiao H, Helm D, Ruprecht B, Saxena K, Médard G, Schwalbe H, Kuster B. Chemical Proteomics and Structural Biology Define EPHA2 Inhibition by Clinical Kinase Drugs. ACS Chem Biol. 2016 Dec 16;11(12):3400–11. doi: 10.1021/acschembio.6b00709. PMID: 27768280.",5328940
1.56,5VCY,CRYSTAL STRUCTURE OF HUMAN MYT1 KINASE DOMAIN IN COMPLEX WITH BOSUTINIB,X-RAY DIFFRACTION,DMS|DB8|EDO|PEG,,679|8117|5328940|174,Q99640,9088,28792760.0,10.1021/acs.jmedchem.7b00996,PMC6200136,16885751.0,"Zhu J, Cuellar RA, Berndt N, Lee HE, Olesen SH, Martin MP, Jensen JT, Georg GI, Schönbrunn E. Structural Basis of Wee Kinases Functionality and Inactivation by Diverse Small Molecule Inhibitors. J. Med. Chem. 2017 Sep 14;60(18):7863–75. doi: 10.1021/acs.jmedchem.7b00996.",5328940
1.7,6FDY,Unc-51-Like Kinase 3 (ULK3) In Complex With Bosutinib,X-RAY DIFFRACTION,DB8,,5328940,Q6PHR2,25989,,,,,,5328940
1.97,5VC3,CRYSTAL STRUCTURE OF HUMAN WEE1 KINASE DOMAIN IN COMPLEX WITH BOSUTINIB,X-RAY DIFFRACTION,CL|DB8|EDO,,174|5328940|312,P30291|2IN6_A|3BI6_A,7465,28792760.0,10.1021/acs.jmedchem.7b00996,PMC6200136,16885751.0,"Zhu J, Cuellar RA, Berndt N, Lee HE, Olesen SH, Martin MP, Jensen JT, Georg GI, Schönbrunn E. Structural Basis of Wee Kinases Functionality and Inactivation by Diverse Small Molecule Inhibitors. J. Med. Chem. 2017 Sep 14;60(18):7863–75. doi: 10.1021/acs.jmedchem.7b00996.",5328940
2.091,4QMN,MST3 in complex with BOSUTINIB,X-RAY DIFFRACTION,DB8,,5328940,Q9Y6E0,8428,27135311.0,10.1002/cmdc.201600115,PMC7771544,521367.0,"Olesen SH, Zhu JY, Martin MP, Schönbrunn E. Discovery of Diverse Small-Molecule Inhibitors of Mammalian Sterile20-like Kinase 3 (MST3). ChemMedChem. 2016 Jun 06;11(11):1137–44. PMID: 27135311; PMCID: PMC7771544.",5328940
2.105,4MXO,human Src kinase bound to kinase inhibitor bosutinib,X-RAY DIFFRACTION,DB8,,5328940,2BDF_A|1O4F_A|P12931|1A07_B|1O41_A|2H8H_A|1Y57_A,6714,24292070.0,10.1038/nchembio.1404,PMC3947016,11380275.0,"Levinson NM, Boxer SG. A conserved water-mediated hydrogen bond network defines bosutinib's kinase selectivity. Nature Chemical Biology. 2013 Dec 01;10(2):127–32. doi: 10.1038/nchembio.1404.",5328940
2.2,5AJQ,Human LOK (STK10) in complex with Bosutinib,X-RAY DIFFRACTION,CL|DB8|EDO,,174|5328940|312,O94804,6793,,,,,,5328940
2.424,3UE4,Structural and spectroscopic analysis of the kinase inhibitor bosutinib binding to the Abl tyrosine kinase domain,X-RAY DIFFRACTION,DB8,,5328940,3QRJ_A|2HZI_A|2HZ0_A|2F4J_A|2E2B_A|P00519|2HIW_A|2HYY_A|3QRI_A|3PYY_A|2V7A_A,25,22493660.0,10.1371/journal.pone.0029828,PMC3320885,12253761.0,"Levinson NM, Boxer SG. Structural and Spectroscopic Analysis of the Kinase Inhibitor Bosutinib and an Isomer of Bosutinib Binding to the Abl Tyrosine Kinase Domain. PLoS ONE. 2012 Apr 06;7(4):e29828. doi: 10.1371/journal.pone.0029828.",5328940
2.501,6OP9,HER3 pseudokinase domain bound to bosutinib,X-RAY DIFFRACTION,DB8,,5328940,P21860,2065,35108525.0,10.1016/j.celrep.2021.110291,PMC8889928,27823120.0,"Campbell MR, Ruiz-Saenz A, Peterson E, Agnew C, Ayaz P, Garfinkle S, Littlefield P, Steri V, Oeffinger J, Sampang M, Shan Y, Shaw DE, Jura N, Moasser MM. Targetable HER3 functions driving tumorigenic signaling in HER2-amplified cancers. Cell Reports. 2022 Feb;38(5):110291. doi: 10.1016/j.celrep.2021.110291.",5328940
2.582,4MXY,Src M314L T338M double mutant bound to kinase inhibitor bosutinib,X-RAY DIFFRACTION,DB8,,5328940,2BDF_A|1O4F_A|P12931|1A07_B|1O41_A|2H8H_A|1Y57_A,6714,24292070.0,10.1038/nchembio.1404,PMC3947016,11380275.0,"Levinson NM, Boxer SG. A conserved water-mediated hydrogen bond network defines bosutinib's kinase selectivity. Nature Chemical Biology. 2013 Dec 01;10(2):127–32. doi: 10.1038/nchembio.1404.",5328940
2.582,4MXZ,Src M314L T338M double mutant bound to kinase inhibitor bosutinib,X-RAY DIFFRACTION,DB8,,5328940,2BDF_A|1O4F_A|P12931|1A07_B|1O41_A|2H8H_A|1Y57_A,6714,24292070.0,10.1038/nchembio.1404,PMC3947016,11380275.0,"Levinson NM, Boxer SG. A conserved water-mediated hydrogen bond network defines bosutinib's kinase selectivity. Nature Chemical Biology. 2013 Dec 01;10(2):127–32. doi: 10.1038/nchembio.1404.",5328940
2.6,4MXX,Human Src A403T mutant bound to kinase inhibitor bosutinib,X-RAY DIFFRACTION,DB8,,5328940,2BDF_A|1O4F_A|P12931|1A07_B|1O41_A|2H8H_A|1Y57_A,6714,24292070.0,10.1038/nchembio.1404,PMC3947016,11380275.0,"Levinson NM, Boxer SG. A conserved water-mediated hydrogen bond network defines bosutinib's kinase selectivity. Nature Chemical Biology. 2013 Dec 01;10(2):127–32. doi: 10.1038/nchembio.1404.",5328940
2.838,8R4Q,Salt inducible kinase 3 in complex with inhibitor,X-RAY DIFFRACTION,SO4|DB8,,5328940|1117,Q9Y2K2,23387,38508313.0,10.1016/j.jbc.2024.107201,PMC11061224,36960666.0,"Öster L, Castaldo M, de Vries E, Edfeldt F, Pemberton N, Gordon E, Cederblad L, Käck H. The structures of salt-inducible kinase 3 in complex with inhibitors reveal determinants for binding and selectivity. Journal of Biological Chemistry. 2024 May;300(5):107201. doi: 10.1016/j.jbc.2024.107201.",5328940
3.5501,3SOA,Full-length human CaMKII,X-RAY DIFFRACTION,DB8,,5328940,Q9UQM7,815,21884935.0,10.1016/j.cell.2011.07.038,PMC3184253,7285371.0,"Chao L, Stratton M, Lee I, Rosenberg O, Levitz J, Mandell D, Kortemme T, Groves J, Schulman H, Kuriyan J. A Mechanism for Tunable Autoinhibition in the Structure of a Human Ca2+/Calmodulin- Dependent Kinase II Holoenzyme. Cell. 2011 Sep;146(5):732–45. doi: 10.1016/j.cell.2011.07.038.",5328940
