resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.74,6AH9,Crystal structure of enoyl-ACP reductase from Acinetobacter baumannii in complex with NAD and Triclosan,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,,,,,,5564
1.75,1QSG,CRYSTAL STRUCTURE OF ENOYL REDUCTASE INHIBITION BY TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD|GLC,G71142DF|G61491DK,5564|79025|5892|185698|64689,P0AEK6|P0AEK4,945870|93775413,10398587.0,10.1006/jmbi.1999.2907,,9110905.0,"Stewart MJ, Parikh S, Xiao G, Tonge PJ, Kisker C. Structural basis and mechanism of enoyl reductase inhibition by triclosan. J Mol Biol. 1999 Jul 23;290(4):859–65. doi: 10.1006/jmbi.1999.2907. PMID: 10398587.",5564
1.799,4NR0,Crystal structure of the Pseudomonas aeruginosa Enoyl-Acyl Carrier Protein Reductase (FabI) in complex with NAD+ and triclosan,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,Q9ZFE4,878311,,,,,,5564
1.8,3OID,Crystal Structure of Enoyl-ACP Reductases III (FabL) from B. subtilis (complex with NADP and TCL),X-RAY DIFFRACTION,TCL|NDP,,5564|5884,P71079,939223|86874682,21185310.0,10.1016/j.jmb.2010.12.003,,18096105.0,"Kim KH, Ha BH, Kim SJ, Hong SK, Hwang KY, Kim EE. Crystal structures of Enoyl-ACP reductases I (FabI) and III (FabL) from B. subtilis. J Mol Biol. 2011 Feb 25;406(3):403–15. doi: 10.1016/j.jmb.2010.12.003. PMID: 21185310.",5564
1.84,4W9N,Enoyl-acyl carrier protein-reductase domain from human fatty acid synthase complexed with triclosan,X-RAY DIFFRACTION,IMD|TCL|CL|NA,,923|312|5564|444234,P49327|3TJM_A,2194,25301948.0,10.1074/jbc.m114.608547,PMC4246086,24282955.0,"Sippel KH, Vyas NK, Zhang W, Sankaran B, Quiocho FA. Crystal Structure of the Human Fatty Acid Synthase Enoyl-Acyl Carrier Protein-Reductase Domain Complexed with Triclosan Reveals Allosteric Protein-Protein Interface Inhibition. Journal of Biological Chemistry. 2014 Nov;289(48):33287–95. doi: 10.1074/jbc.m114.608547.",5564
1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
1.9,1QG6,CRYSTAL STRUCTURE OF E. COLI ENOYL ACYL CARRIER PROTEIN REDUCTASE IN COMPLEX WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10493822.0,10.1021/bi9907779,,21265353.0,"Ward WH, Holdgate GA, Rowsell S, McLean EG, Pauptit RA, Clayton E, Nichols WW, Colls JG, Minshull CA, Jude DA, Mistry A, Timms D, Camble R, Hales NJ, Britton CJ, Taylor IW. Kinetic and structural characteristics of the inhibition of enoyl (acyl carrier protein) reductase by triclosan. Biochemistry. 1999 Sep 21;38(38):12514–25. doi: 10.1021/bi9907779. PMID: 10493822.",5564
1.9,2WYW,High resolution structure of Thermus thermophilus enoyl-acyl carrier protein reductase NAD and triclosan-form,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,23027736.0,10.1107/s1744309112033982,PMC3497968,13402069.0,"Otero JM, Noël A, Guardado-Calvo P, Llamas-Saiz AL, Wende W, Schierling B, Pingoud A, van Raaij MJ. High-resolution structures of<i>Thermus thermophilus</i>enoyl-acyl carrier protein reductase in the apo form, in complex with NAD<sup>+</sup>and in complex with NAD<sup>+</sup>and triclosan. Acta Crystallogr F Struct Biol Cryst Commun. 2012 Sep 22;68(10):1139–48. doi: 10.1107/s1744309112033982.",5564
1.9,4M89,Crystal Structure of Enoyl-Acyl Carrier Protein Reductase (FabI) from Neisseria meningitidis in complex with NAD+ and Triclosan,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,,,,,,5564
1.9,3PJF,Structure of ENR G93V mutant-NAD+-triclosan complex,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,21094257.0,10.1016/j.jsb.2010.11.008,,26903252.0,"Jiten Singh N, Shin D, Lee HM, Kim HT, Chang H, Cho JM, Kim KS, Ro S. Structural basis of triclosan resistance. Journal of Structural Biology. 2011 Apr;174(1):173–9. doi: 10.1016/j.jsb.2010.11.008.",5564
