8SSO_1|Chains,pdb|4RGJ|A,Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.72e-49,171,35.227,264
8SSO_1|Chains,emb|CAA68090.1|,CDPK2 [Plasmodium falciparum],7.86e-49,169,35.606,264
8SSO_1|Chains,gb|AAT06260.1|,protein kinase B-like protein [Plasmodium falciparum],1.12e-48,167,34.066,273
8SSO_1|Chains,gb|AAF99562.1|,cAMP-dependent protein kinase [Plasmodium falciparum],7.75e-47,159,33.209,268
8SSO_1|Chains,emb|CAA47704.1|,protein kinase [Plasmodium falciparum],4.65e-42,150,32.014,278
8SSO_1|Chains,pdb|5DYK|A,Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.63e-40,148,31.939,263
8SSO_1|Chains,emb|CAA80490.1|,serine/threonine-protein kinase [Plasmodium falciparum],2.07e-37,140,29.084,251
8SSO_1|Chains,pdb|1V0O|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.12e-35,127,30.556,288
8SSO_1|Chains,pdb|1V0B|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.87e-35,127,30.556,288
8SSO_1|Chains,pdb|1OB3|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.93e-35,127,30.556,288
