2WGJ_1|Chain,gb|AAL54911.1|,sexual stage-specific protein kinase [Plasmodium falciparum],2.53e-16,79.3,27.358,212
2WGJ_1|Chain,pdb|1V0B|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.19e-14,70.9,28.111,217
2WGJ_1|Chain,gb|AAC72269.1|,MO15-related protein kinase Pfmrk [Plasmodium falciparum],1.88e-13,69.3,27.551,294
2WGJ_1|Chain,pdb|1V0O|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.94e-13,68.9,27.650,217
2WGJ_1|Chain,pdb|1OB3|A,Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.16e-13,68.9,27.650,217
2WGJ_1|Chain,gb|AAD55782.1|,MO15-related protein kinase Pfmrk [Plasmodium falciparum],2.31e-13,69.3,30.131,229
2WGJ_1|Chain,emb|CAA47704.1|,protein kinase [Plasmodium falciparum],7.57e-13,68.6,28.161,174
2WGJ_1|Chain,emb|CAA68090.1|,CDPK2 [Plasmodium falciparum],1.95e-12,67.0,27.053,207
2WGJ_1|Chain,gb|AAF99562.1|,cAMP-dependent protein kinase [Plasmodium falciparum],2.65e-11,63.2,25.481,208
2WGJ_1|Chain,pdb|3NIE|A,Chain A, MAP2 kinase [Plasmodium falciparum],1.94e-10,60.8,25.991,227
