2J2I_1|Chain,emb|CAA68090.1|,CDPK2 [Plasmodium falciparum],1.35e-33,128,31.095,283
2J2I_1|Chain,emb|CAA80490.1|,serine/threonine-protein kinase [Plasmodium falciparum],8.93e-30,119,30.830,253
2J2I_1|Chain,emb|CAA45179.1|,PfPK2 [Plasmodium falciparum],4.16e-24,101,26.667,285
2J2I_1|Chain,pdb|5DYK|A,Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],5.71e-23,99.0,29.167,264
2J2I_1|Chain,emb|CAA47704.1|,protein kinase [Plasmodium falciparum],5.85e-23,98.6,30.526,285
2J2I_1|Chain,gb|AAT06260.1|,protein kinase B-like protein [Plasmodium falciparum],7.98e-21,92.0,26.894,264
2J2I_1|Chain,gb|AAF99562.1|,cAMP-dependent protein kinase [Plasmodium falciparum],1.75e-19,87.0,26.336,262
2J2I_1|Chain,pdb|4RGJ|A,Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],5.42e-18,84.0,25.879,313
2J2I_1|Chain,gb|AAC47170.1|,mitogen-activated protein kinase-related protein [Plasmodium falciparum],8.34e-17,80.9,26.339,224
2J2I_1|Chain,emb|CAA57972.1|,mitogen-activated protein kinase 1, serine/threonine protein kinase [Plasmodium falciparum],3.66e-16,79.0,26.339,224
