1J3J_1|Chains,gb|AAA29580.1|,dihydrofolate reductase-thymidylate synthetase [Plasmodium falciparum],0.0,562,100.000,280,source_file
gb|AIB07189.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07317.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07400.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07216.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07310.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07166.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07397.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07204.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|AIB07230.1|,bifunctional dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,561.0,100.0,280.0,1J3J_pdb_hits.csv
gb|UXQ07762.1|,dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,687.0,100.0,328.0,1J3J_pdb_hits.csv
pdb|3JSU|A,Chain A, Dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,687.0,100.0,328.0,1J3J_pdb_hits.csv
gb|UXQ07839.1|,dihydrofolate reductase-thymidylate synthase, partial [Plasmodium falciparum],0.0,687.0,100.0,328.0,1J3J_pdb_hits.csv
gb|UXQ07708.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,687.0,100.0,328.0,,1J3J_pdb_hits.csv
gb|UXQ07715.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,687.0,100.0,328.0,,1J3J_pdb_hits.csv
pdb|3UM5|A,Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,687.0,100.0,328.0,1J3J_pdb_hits.csv
gb|UXQ07805.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,687.0,100.0,328.0,,1J3J_pdb_hits.csv
gb|UXQ07920.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,687.0,100.0,328.0,,1J3J_pdb_hits.csv
gb|AAA29580.1|,dihydrofolate reductase-thymidylate synthetase [Plasmodium falciparum],0.0,687.0,100.0,328.0,,1J3J_pdb_hits.csv
gb|UXQ07891.1|,dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],0.0,687.0,100.0,328.0,,1J3J_pdb_hits.csv
