resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
1.65,4BZ7,Crystal structure of Schistosoma mansoni HDAC8 complexed with M344,X-RAY DIFFRACTION,B3N|GOL|ZN|K,,813|3994|32051|753,,,24086136.0,10.1371/journal.ppat.1003645,PMC3784479,2479186.0,"Marek M, Kannan S, Hauser A, Moraes Mourão M, Caby S, Cura V, Stolfa DA, Schmidtkunz K, Lancelot J, Andrade L, Renaud J, Oliveira G, Sippl W, Jung M, Cavarelli J, Pierce RJ, Romier C. Structural Basis for the Inhibition of Histone Deacetylase 8 (HDAC8), a Key Epigenetic Player in the Blood Fluke Schistosoma mansoni. PLoS Pathog. 2013 Sep 26;9(9):e1003645. doi: 10.1371/journal.ppat.1003645.",3994
1.7,6PI1,Crystal structure of Marinobacter subterrani acetylpolyamine amidohydrolase (msAPAH) complexed with 4-(dimethylamino)-N-[7-hydroxyamino)-7-oxoheptyl]benzamide,X-RAY DIFFRACTION,B3N|ZN|MG|K,,813|3994|32051|888,,,31436969.0,10.1021/acs.biochem.9b00582,PMC6736730,12881677.0,"Osko JD, Roose BW, Shinsky SA, Christianson DW. Structure and Function of the Acetylpolyamine Amidohydrolase from the Deep Earth Halophile <i>Marinobacter subterrani</i>. Biochemistry. 2019 Aug 22;58(36):3755–66. doi: 10.1021/acs.biochem.9b00582.",3994
1.8,3EW8,Crystal Structure Analysis of human HDAC8 D101L variant,X-RAY DIFFRACTION,BME|B3N|GOL|ZN|K,,813|3994|32051|1567|753,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,19053282.0,10.1021/bi801610c,PMC2635894,386313.0,"Dowling DP, Gantt SL, Gattis SG, Fierke CA, Christianson DW. Structural Studies of Human Histone Deacetylase 8 and Its Site-Specific Variants Complexed with Substrate and Inhibitors<sup>,</sup>. Biochemistry. 2008 Nov 24;47(51):13554–63. doi: 10.1021/bi801610c.",3994
1.845,3MZ4,Crystal structure of D101L Mn2+ HDAC8 complexed with M344,X-RAY DIFFRACTION,B3N|GOL|MN|K,,813|3994|27854|753,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,20545365.0,10.1021/bi1005046,PMC2895166,20778225.0,"Dowling DP, Gattis SG, Fierke CA, Christianson DW. Structures of Metal-Substituted Human Histone Deacetylase 8 Provide Mechanistic Inferences on Biological Function, Biochemistry. 2010 May 27;49(24):5048–56. doi: 10.1021/bi1005046.",3994
1.868,5THV,Crystal Structure of G305A HDAC8 in complex with M344,X-RAY DIFFRACTION,B3N|ZN|EDO|K,,813|3994|32051|174,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,27933794.0,10.1021/acs.biochem.6b01014,PMC5161102,29033752.0,"Porter NJ, Christianson NH, Decroos C, Christianson DW. Structural and Functional Influence of the Glycine-Rich Loop G<sup>302</sup>GGGY on the Catalytic Tyrosine of Histone Deacetylase 8. Biochemistry. 2016 Nov 28;55(48):6718–29. doi: 10.1021/acs.biochem.6b01014.",3994
1.9,3MZ7,Crystal structure of D101L Co2+ HDAC8 complexed with M344,X-RAY DIFFRACTION,B3N|GOL|CO|K,,104729|3994|813|753,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,20545365.0,10.1021/bi1005046,PMC2895166,20778225.0,"Dowling DP, Gattis SG, Fierke CA, Christianson DW. Structures of Metal-Substituted Human Histone Deacetylase 8 Provide Mechanistic Inferences on Biological Function, Biochemistry. 2010 May 27;49(24):5048–56. doi: 10.1021/bi1005046.",3994
1.9,5THS,Crystal Structure of G302A HDAC8 in complex with M344,X-RAY DIFFRACTION,B3N|ZN|EDO|K,,813|3994|32051|174,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,27933794.0,10.1021/acs.biochem.6b01014,PMC5161102,29033752.0,"Porter NJ, Christianson NH, Decroos C, Christianson DW. Structural and Functional Influence of the Glycine-Rich Loop G<sup>302</sup>GGGY on the Catalytic Tyrosine of Histone Deacetylase 8. Biochemistry. 2016 Nov 28;55(48):6718–29. doi: 10.1021/acs.biochem.6b01014.",3994
1.92,4QA1,Crystal structure of A188T HDAC8 in complex with M344,X-RAY DIFFRACTION,B3N|GOL|ZN|K,,813|3994|32051|753,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,25075551.0,10.1021/cb5003762,PMC4168803,12775902.0,"Decroos C, Bowman CM, Moser JA, Christianson KE, Deardorff MA, Christianson DW. Compromised structure and function of HDAC8 mutants identified in Cornelia de Lange Syndrome spectrum disorders. ACS Chem Biol. 2014 Sep 19;9(9):2157–64. PMID: 25075551; PMCID: PMC4168803.",3994
1.93,4RSY,Crystal structures of the Human leukotriene A4 Hydrolase complex with a potential inhibitor H7,X-RAY DIFFRACTION,B3N|YB|IMD|ACY|ZN,,444234|3994|32051|105055|176,3B7R_L|3CHO_A|P09960|2R59_A,4048.0,,,,,,3994
1.94,5DC5,Crystal structure of D176N HDAC8 in complex with M344,X-RAY DIFFRACTION,B3N|ZN|K,,813|3994|32051,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,26806311.0,10.1021/acs.biochem.5b01327,PMC4747815,5973152.0,"Gantt SML, Decroos C, Lee MS, Gullett LE, Bowman CM, Christianson DW, Fierke CA. General Base–General Acid Catalysis in Human Histone Deacetylase 8. Biochemistry. 2016 Jan 25;55(5):820–32. doi: 10.1021/acs.biochem.5b01327.",3994
1.95,5THU,Crystal Structure of G304A HDAC8 in complex with M344,X-RAY DIFFRACTION,B3N|ZN|GGG|K,,813|3994|32051|11161,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,27933794.0,10.1021/acs.biochem.6b01014,PMC5161102,29033752.0,"Porter NJ, Christianson NH, Decroos C, Christianson DW. Structural and Functional Influence of the Glycine-Rich Loop G<sup>302</sup>GGGY on the Catalytic Tyrosine of Histone Deacetylase 8. Biochemistry. 2016 Nov 28;55(48):6718–29. doi: 10.1021/acs.biochem.6b01014.",3994
1.98,4QA4,Crystal structure of H334R HDAC8 in complex with M344,X-RAY DIFFRACTION,B3N|GOL|ZN|K,,813|3994|32051|753,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,25075551.0,10.1021/cb5003762,PMC4168803,12775902.0,"Decroos C, Bowman CM, Moser JA, Christianson KE, Deardorff MA, Christianson DW. Compromised structure and function of HDAC8 mutants identified in Cornelia de Lange Syndrome spectrum disorders. ACS Chem Biol. 2014 Sep 19;9(9):2157–64. PMID: 25075551; PMCID: PMC4168803.",3994
2.0,3MZ6,Crystal structure of D101L Fe2+ HDAC8 complexed with M344,X-RAY DIFFRACTION,B3N|FE2|K,,813|3994|27284,2V5X_A|3MZ3_A|Q9BY41|3MZ6_A|3SFF_A|3F07_A,55869.0,20545365.0,10.1021/bi1005046,PMC2895166,20778225.0,"Dowling DP, Gattis SG, Fierke CA, Christianson DW. Structures of Metal-Substituted Human Histone Deacetylase 8 Provide Mechanistic Inferences on Biological Function, Biochemistry. 2010 May 27;49(24):5048–56. doi: 10.1021/bi1005046.",3994
